id,gen,smile,source,weight,score
AANE,1,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,1052.2640000000001,-13.8
AAHA,3,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,885.056,-13.4
AADT,3,CC(C)(C)NC(=O)C1CCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,949.1619999999999,-13.2
AAKA,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)C(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,1052.2389999999998,-13.0
AADF,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(C(=O)NC(Cc2ccccn2)C(=O)NC(Cc2ccccc2)C(=O)O)cc1,generated,1019.1870000000001,-13.0
AAHS,2,CCC(=O)NCCNC(=O)NC1CCCCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)O)C(C)(C)C,generated,934.1489999999998,-12.6
AADJ,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)C(Cc2ccccc2)C(=O)O)cc1,generated,871.0220000000003,-12.6
AAFS,3,CC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1,generated,934.0810000000001,-12.4
AABD,3,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,812.9860000000001,-12.3
AADW,3,CC(C)(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,generated,706.8620000000001,-12.3
AAIX,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)C(O)C(Cc2ccccc2)C(=O)O)cc1,generated,901.0480000000003,-12.2
AAEK,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)C2CCCCC2)cc1,generated,805.007,-12.1
AAIB,3,CC(C)CC(NS(=O)(=O)c1ccc(NCc2ccccn2)cc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(C)Cc1ccccc1,generated,1050.2959999999996,-12.1
AAIU,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,1007.223,-12.1
AAFN,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)C2CCCCC2)cc1,generated,805.007,-12.1
AAFN,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,919.114,-12.1
AADZ,2,CC(C)NC(=O)C1CCCCC1C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,916.0890000000002,-12.1
AAFX,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1cc(C(=O)NC(CC(=O)O)C(=O)O)ccc1Cl,generated,726.2010000000004,-12.0
AAFW,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(CC1CCCN1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)C2CCCCC2)cc1,generated,798.016,-12.0
AAPC,1,CC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CO)C(C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)O)C(C)(C)C)C(C)(C)C,manual,801.9820000000001,-12.0
AAEE,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,generated,845.075,-11.9
AAEC,3,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,994.224,-11.9
AACS,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,860.046,-11.9
AACB,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,827.013,-11.9
AAFB,3,CC(C)CC(NC(=O)OC(C)(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,967.177,-11.9
AAPD,1,CC(C)(C)CC(NC(=O)NC1COC2OCCC12)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(O)CN1C2CCC1CC(C(=O)NC(C)(C)C)C2,manual,819.0569999999998,-11.8
AADR,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NCc2ccccc2)cc1,generated,784.9760000000002,-11.8
AAHM,3,O=C(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)NCC1CCCC1,generated,976.1879999999994,-11.8
AAIT,3,NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC12CC3CC(CC(C3)C1)C2,generated,636.7929999999998,-11.8
AAGM,3,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,993.196,-11.8
AAFZ,1,CC(C)(C)NC(=O)C(Cc1ccccc1)NC(=O)C1CC(CC2CCCCC2)CC2CCCCC2C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)N1,generated,965.2930000000003,-11.8
AACR,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NCc2ccccc2)cc1,generated,784.9760000000002,-11.8
AABL,3,CC(C)CN(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)OC2CCCCC2)cc1,generated,819.978,-11.8
AAEY,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccccc1,generated,679.8360000000004,-11.8
AAHZ,3,CC(C)(C)NC(=O)C1CCCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,963.189,-11.8
AAHC,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCc1ccccc1,generated,802.01,-11.7
AAAT,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,751.9060000000002,-11.7
AAHN,3,CC(C)N(C=O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,985.195,-11.7
AAHX,3,CC(C)NC(=O)C1CCCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(C)Cc1ccccc1,generated,1066.3569999999997,-11.7
AAFP,2,CC(C)(C)NC(=O)C1CC2CCC(C1)N2CCC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1ccc(-c2ccccc2)cc1,generated,901.165,-11.6
AAAI,3,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccccc1,generated,914.1609999999998,-11.6
AAAH,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,713.8970000000002,-11.6
AAHT,3,CC(C)(C)NC(=O)C1CC(CC(N)=O)CCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCc1ccccc1,generated,1001.242,-11.6
AACL,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(-c2ccccc2)cc1,generated,990.2589999999998,-11.6
AAAC,2,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,713.8970000000002,-11.6
AAEA,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(O)cc1,generated,695.8350000000004,-11.5
AADP,3,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,847.0470000000001,-11.5
AACL,3,O=C(NCC1(c2ccccc2)CC1)NC1CC2CCC(C1)N2CCc1ccc(-c2ccccn2)cc1,generated,480.65600000000023,-11.5
AAAF,1,CC(C)(C)NC(=O)C1CN(Cc2ccc(F)c(F)c2)CCN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,generated,1005.1369999999997,-11.5
AAPE,1,O=C(NCC1(c2ccccc2)CC1)NC1CC2CCC(C1)N2CCc1ccc(-c2ccccn2)cc1,manual,480.65600000000023,-11.5
AADS,3,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,848.0350000000002,-11.5
AAGM,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(C(=O)NC(Cc2ccccc2)C(=O)O)cc1,generated,810.993,-11.5
AAFE,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(O)cc1,generated,695.8350000000004,-11.5
AAAW,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,712.8690000000001,-11.5
AAHK,3,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccccc1,generated,972.1740000000001,-11.4
AAMB,1,CC(C)CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)O,generated,941.1020000000001,-11.4
AAEZ,2,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,938.095,-11.4
AAGK,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,generated,885.06,-11.4
AAGX,3,CC(C)CC(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccc(-c2ccccn2)cc1)C(O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,790.9830000000001,-11.4
AADQ,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)C2CCCCC2)cc1,generated,952.1839999999997,-11.3
AADW,2,CC(C)(C)NC(=O)C1CCCC1C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCc1ccccc1,generated,596.772,-11.3
AALF,1,CCOC(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,835.9620000000001,-11.3
AAIH,3,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,699.8700000000002,-11.3
AAHP,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1,generated,946.1360000000001,-11.3
AAFJ,3,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)C(=O)NC(Cc1ccccc1)C(=O)O,generated,728.8430000000002,-11.3
AAGA,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)C(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,938.135,-11.3
AAGT,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)c2cccc(C(=O)NC(CC(=O)O)C(=O)O)c2)cc1,generated,810.8790000000004,-11.3
AACU,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C1CCCCC1)C(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,944.1830000000001,-11.2
AACN,3,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,823.9910000000001,-11.2
AAKV,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NCc2ccccc2)cc1,generated,1046.257,-11.2
AAIP,1,CC(C)(C)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccc(N)cc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,685.8220000000001,-11.2
AACE,3,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,698.8420000000002,-11.2
AADE,2,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,698.8420000000002,-11.2
AAAS,1,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,generated,818.0319999999998,-11.2
AADH,2,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,823.9910000000001,-11.2
AABS,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccc(Cl)cc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)C2CCCCC2)cc1,generated,839.4519999999999,-11.2
AAJB,2,CC(C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC=O,generated,992.1469999999999,-11.2
AACY,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)C1=CC=C2NC(=O)C3(CCCCCCCC(C)(C)CC3)C2=CC=C1,generated,780.0409999999996,-11.2
AACI,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)C2CCCCC2)nc1,generated,805.9949999999999,-11.1
AACA,3,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,700.8580000000003,-11.1
AAJP,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(CNCc2ccccc2)cc1,generated,799.0030000000002,-11.1
AABE,2,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccccc1,generated,881.0879999999999,-11.1
AAAK,2,CC(C)NC(=O)C1CCCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,841.022,-11.1
AAIF,3,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)C(=O)O,generated,581.6660000000003,-11.1
AAEH,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)C2CC2CC2CCCCC2)cc1,generated,1006.2759999999996,-11.1
AAEJ,3,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(O)CC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccc(N)cc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,1009.2389999999999,-11.1
AAED,2,CC(C)CCN(CC1CCCCC1)c1ccc(S(=O)(=O)N(CC(C)C)CC(O)C(Cc2ccccc2)NC(=O)OC2COC3OCCC23)cc1,generated,713.9820000000002,-11.0
AAFB,2,CC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(O)CCN1C2CCC1CC(C(=O)NC(C)(C)C)C2,generated,977.1769999999995,-11.0
AAEQ,2,CC(C)C(NS(=O)(=O)c1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,generated,891.02,-11.0
AABP,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(O)cc1,generated,990.1890000000001,-11.0
AAHF,3,CC(C)CC(NC(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,676.8140000000002,-11.0
AADV,3,CC(C)(C)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccc2ccccc2n1,generated,669.8260000000001,-11.0
AAGP,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NCc2ccccc2)cc1,generated,932.153,-11.0
AAIN,1,CC(C)(C)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccc(O)cc1,generated,797.9530000000002,-11.0
AAAL,2,CC(C)(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc(O)c(O)c1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,836.9430000000003,-11.0
AABB,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,generated,694.8510000000002,-11.0
AAAA,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccccc1)C(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12,generated,1052.239,-10.9
AAIP,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(NC(=O)c2ccccn2)cc1,generated,799.9470000000002,-10.9
AAEZ,3,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(O)c(O)c1,generated,859.0110000000002,-10.9
AAFT,3,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)c1ccc2ccccc2n1,training,671.839,-10.9
AAIY,3,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,generated,676.8140000000002,-10.9
AAET,2,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)c1ccc(-c2ccccc2)cc1)C(=O)CCc1ccccc1,generated,996.2219999999999,-10.9
