Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAAAgen0,-6.7,0,0
6lu7_idAAAAgen0,-6.6,2.125,1.628
6lu7_idAAAAgen0,-6.4,9.023,3.692
6lu7_idAAAAgen0,-6.4,6.626,3.987
6lu7_idAAAAgen0,-6.3,6.182,4.837
6lu7_idAAAAgen0,-6.3,8.3,4.756
6lu7_idAAAAgen0,-6.1,28.19,24.447
6lu7_idAAAAgen0,-6.1,28.115,24.299
6lu7_idAAAAgen0,-6.1,24.297,20.571
6lu7_idAAABgen0,-5.3,0,0
6lu7_idAAABgen0,-5.3,21.015,17.211
6lu7_idAAABgen0,-5.2,4.678,3.38
6lu7_idAAABgen0,-5,25.644,22.877
6lu7_idAAABgen0,-5,24.454,22.423
6lu7_idAAABgen0,-4.9,24.246,21.806
6lu7_idAAABgen0,-4.9,4.992,3.418
6lu7_idAAABgen0,-4.7,24.819,21.958
6lu7_idAAABgen0,-4.7,26.582,23.882
6lu7_idAAACgen0,-6.7,0,0
6lu7_idAAACgen0,-6.6,2.468,1.547
6lu7_idAAACgen0,-6.5,20.903,18.067
6lu7_idAAACgen0,-6.4,20.768,18.034
6lu7_idAAACgen0,-6.4,21.824,17.947
6lu7_idAAACgen0,-6.4,43.294,37.35
6lu7_idAAACgen0,-6.3,2.673,2.039
6lu7_idAAACgen0,-6.1,8.606,2.467
6lu7_idAAACgen0,-6,3.206,2.461
6lu7_idAAADgen0,-7.5,0,0
6lu7_idAAADgen0,-6.9,28.523,25.266
6lu7_idAAADgen0,-6.8,41.315,40.89
6lu7_idAAADgen0,-6.5,15.525,14.366
6lu7_idAAADgen0,-6.5,34.623,32
6lu7_idAAADgen0,-6.5,39.417,37.113
6lu7_idAAADgen0,-6.4,6.886,3.083
6lu7_idAAADgen0,-6.4,18.918,15.977
6lu7_idAAADgen0,-6.4,2.86,1.999
6lu7_idAAAEgen0,-8.5,0,0
6lu7_idAAAEgen0,-8.3,3.462,1.812
6lu7_idAAAEgen0,-8.1,23.252,20.94
6lu7_idAAAEgen0,-7.8,11.2,5.507
6lu7_idAAAEgen0,-7.8,22.087,18.959
6lu7_idAAAEgen0,-7.8,21.976,19.406
6lu7_idAAAEgen0,-7.7,14.807,12.059
6lu7_idAAAEgen0,-7.7,37.439,33.552
6lu7_idAAAEgen0,-7.6,22.312,17.901
6lu7_idAAAFgen0,-6.8,0,0
6lu7_idAAAFgen0,-6.2,5.916,3.785
6lu7_idAAAFgen0,-6.1,24.367,20.396
6lu7_idAAAFgen0,-6.1,23.53,21.547
6lu7_idAAAFgen0,-5.9,10.88,7.153
6lu7_idAAAFgen0,-5.8,7.143,3.56
6lu7_idAAAFgen0,-5.8,6.72,3.108
6lu7_idAAAFgen0,-5.6,20.491,17.914
6lu7_idAAAFgen0,-5.6,29.99,24.902
6lu7_idAAAGgen0,-6.9,0,0
6lu7_idAAAGgen0,-6.6,27.345,23.148
6lu7_idAAAGgen0,-6.4,6.012,3.058
6lu7_idAAAGgen0,-6.4,3.13,1.924
6lu7_idAAAGgen0,-6.4,23.839,20.628
6lu7_idAAAGgen0,-6.3,7.197,4.551
6lu7_idAAAGgen0,-6.3,6.736,4.874
6lu7_idAAAGgen0,-6.1,7.067,5.081
6lu7_idAAAGgen0,-6.1,2.646,1.595
6lu7_idAAAHgen0,-6.6,0,0
6lu7_idAAAHgen0,-6.5,3.954,2.491
6lu7_idAAAHgen0,-6.3,8.519,1.697
6lu7_idAAAHgen0,-6.2,17.022,12.667
6lu7_idAAAHgen0,-6.1,26.845,22.137
6lu7_idAAAHgen0,-6,14.536,12.136
6lu7_idAAAHgen0,-6,7.204,5.31
6lu7_idAAAHgen0,-6,23.404,21.513
6lu7_idAAAHgen0,-6,21.441,17.539
6lu7_idAAAIgen0,-5.6,0,0
6lu7_idAAAIgen0,-5.4,4.137,3.157
6lu7_idAAAIgen0,-5.2,7.588,2.391
6lu7_idAAAIgen0,-5.1,19.803,15.933
6lu7_idAAAIgen0,-5,5.125,3.005
6lu7_idAAAIgen0,-5,41.944,38.452
6lu7_idAAAIgen0,-4.9,41.516,38.149
6lu7_idAAAIgen0,-4.9,4.005,2.974
6lu7_idAAAIgen0,-4.9,16.447,12.961
6lu7_idAAAJgen0,-7.5,0,0
6lu7_idAAAJgen0,-7.2,2.243,1.545
6lu7_idAAAJgen0,-7.1,2.135,1.836
6lu7_idAAAJgen0,-7,5.176,3.131
6lu7_idAAAJgen0,-6.7,5.384,2.861
6lu7_idAAAJgen0,-6.6,20.066,17.911
6lu7_idAAAJgen0,-6.5,4.999,2.161
6lu7_idAAAJgen0,-6.4,47.909,44.586
6lu7_idAAAJgen0,-6.4,3.166,2.11
6lu7_idAAAMgen0,-6.6,0,0
6lu7_idAAAMgen0,-6.4,8.492,1.155
6lu7_idAAAMgen0,-6.1,4.307,2.992
6lu7_idAAAMgen0,-6.1,19.758,17.419
6lu7_idAAAMgen0,-6.1,23.147,19.08
6lu7_idAAAMgen0,-6.1,9.085,3.31
6lu7_idAAAMgen0,-6,22.517,21.025
6lu7_idAAAMgen0,-6,21.29,18.772
6lu7_idAAAMgen0,-6,22.22,21.293
6lu7_idAAANgen0,-8.6,0,0
6lu7_idAAANgen0,-7.9,25.181,22.177
6lu7_idAAANgen0,-7.8,26.298,23.082
6lu7_idAAANgen0,-7.7,5.199,3.689
6lu7_idAAANgen0,-7.7,6.371,4.072
6lu7_idAAANgen0,-7.5,26.427,23.305
6lu7_idAAANgen0,-7.4,26.047,22.922
6lu7_idAAANgen0,-7.4,25.652,23.14
6lu7_idAAANgen0,-7.3,25.666,22.847
6lu7_idAAAOgen0,-5.5,0,0
6lu7_idAAAOgen0,-5.4,26.364,23.88
6lu7_idAAAOgen0,-5.3,34.828,31.527
6lu7_idAAAOgen0,-5.3,26.679,23.987
6lu7_idAAAOgen0,-5.3,34.662,31.413
6lu7_idAAAOgen0,-5.3,34.614,31.446
6lu7_idAAAOgen0,-5.3,4.38,2.685
6lu7_idAAAOgen0,-5.3,26.075,23.255
6lu7_idAAAOgen0,-5.3,34.4,31.545
6lu7_idAAAPgen0,-8.4,0,0
6lu7_idAAAPgen0,-8.3,24.291,22.444
6lu7_idAAAPgen0,-8,23.032,20.294
6lu7_idAAAPgen0,-7.9,3.133,1.983
6lu7_idAAAPgen0,-7.5,22.663,18.242
6lu7_idAAAPgen0,-7.5,22.542,17.751
6lu7_idAAAPgen0,-7.4,24.602,21.387
6lu7_idAAAPgen0,-7.4,22.097,19.34
