Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAUAgen0,-6.9,0.0,0.0
6lu7_idAAUAgen0,-6.7,3.339,2.265
6lu7_idAAUAgen0,-6.7,22.59,19.126
6lu7_idAAUAgen0,-6.5,2.329,1.891
6lu7_idAAUAgen0,-6.5,47.705,42.488
6lu7_idAAUAgen0,-6.3,10.238,4.414
6lu7_idAAUAgen0,-6.3,2.863,2.268
6lu7_idAAUAgen0,-6.3,22.994,19.521
6lu7_idAAUAgen0,-6.1,45.115,39.35
6lu7_idAAUBgen0,-6.5,0.0,0.0
6lu7_idAAUBgen0,-6.4,5.156,3.836
6lu7_idAAUBgen0,-6.3,21.907,20.419
6lu7_idAAUBgen0,-6.2,22.347,20.742
6lu7_idAAUBgen0,-6.2,4.294,3.311
6lu7_idAAUBgen0,-6.1,39.242,37.442
6lu7_idAAUBgen0,-5.9,33.692,29.16
6lu7_idAAUBgen0,-5.9,20.123,17.142
6lu7_idAAUBgen0,-5.9,22.112,21.111
6lu7_idAAUCgen0,-5.8,0.0,0.0
6lu7_idAAUCgen0,-5.8,4.883,1.303
6lu7_idAAUCgen0,-5.6,27.702,24.754
6lu7_idAAUCgen0,-5.5,4.806,1.983
6lu7_idAAUCgen0,-5.4,28.068,25.799
6lu7_idAAUCgen0,-5.4,20.71,17.468
6lu7_idAAUCgen0,-5.3,32.63,29.593
6lu7_idAAUCgen0,-5.2,2.028,1.506
6lu7_idAAUCgen0,-5.2,6.695,2.267
6lu7_idAAUDgen0,-6.1,0.0,0.0
6lu7_idAAUDgen0,-6.1,31.006,29.121
6lu7_idAAUDgen0,-5.9,40.307,37.676
6lu7_idAAUDgen0,-5.9,42.155,39.656
6lu7_idAAUDgen0,-5.8,31.207,29.232
6lu7_idAAUDgen0,-5.7,42.884,40.341
6lu7_idAAUDgen0,-5.6,17.541,16.559
6lu7_idAAUDgen0,-5.6,30.528,28.417
6lu7_idAAUDgen0,-5.5,41.387,39.153
6lu7_idAAUEgen0,-6.0,0.0,0.0
6lu7_idAAUEgen0,-5.9,29.727,26.4
6lu7_idAAUEgen0,-5.7,42.759,39.379
