Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAABLgen10,-15.0,7.701,1.148
6lu7_idAABLgen10,-15.3,28.832,24.484
6lu7_idAABLgen10,-15.5,20.967,17.272
6lu7_idAABLgen10,-17.2,5.594,2.486
6lu7_idAABLgen10,-17.9,0.0,0.0
6lu7_idAABKgen10,-14.6,23.425,19.521
6lu7_idAABKgen10,-14.9,36.535,33.18
6lu7_idAABKgen10,-15.0,7.712,2.652
6lu7_idAABKgen10,-15.1,14.381,8.342
6lu7_idAABKgen10,-15.3,24.376,20.529
6lu7_idAABKgen10,-16.2,3.887,2.358
6lu7_idAABKgen10,-16.2,7.224,2.894
6lu7_idAABKgen10,-16.8,1.669,1.067
6lu7_idAABKgen10,-17.6,0.0,0.0
6lu7_idAABJgen10,-12.7,8.662,2.753
6lu7_idAABJgen10,-13.0,7.148,1.484
6lu7_idAABJgen10,-13.2,6.814,0.958
6lu7_idAABJgen10,-13.2,8.96,1.194
6lu7_idAABJgen10,-13.3,6.755,1.566
6lu7_idAABJgen10,-13.3,6.83,1.609
6lu7_idAABJgen10,-13.7,6.509,2.031
6lu7_idAABJgen10,-14.1,5.852,1.18
6lu7_idAABJgen10,-14.1,0.0,0.0
6lu7_idAABHgen10,-10.8,34.674,29.624
6lu7_idAABHgen10,-11.0,16.153,9.146
6lu7_idAABHgen10,-11.1,8.222,1.73
6lu7_idAABHgen10,-11.1,10.061,4.763
6lu7_idAABHgen10,-11.3,17.509,8.694
6lu7_idAABHgen10,-11.5,21.227,16.053
6lu7_idAABHgen10,-11.7,8.817,2.886
6lu7_idAABHgen10,-12.0,32.459,28.168
6lu7_idAABHgen10,-12.8,0.0,0.0
6lu7_idAABGgen10,-13.5,6.867,2.369
6lu7_idAABGgen10,-13.7,8.491,2.724
6lu7_idAABGgen10,-13.7,7.287,1.698
6lu7_idAABGgen10,-13.7,7.304,2.982
6lu7_idAABGgen10,-14.9,2.823,1.715
6lu7_idAABGgen10,-15.3,6.8,2.891
6lu7_idAABGgen10,-16.5,0.0,0.0
6lu7_idAABFgen10,-14.6,6.18,2.344
6lu7_idAABFgen10,-14.6,6.552,2.147
6lu7_idAABFgen10,-14.7,9.634,2.967
6lu7_idAABFgen10,-14.9,21.656,15.545
6lu7_idAABFgen10,-15.3,7.063,1.196
6lu7_idAABFgen10,-16.1,6.954,2.191
6lu7_idAABFgen10,-17.1,6.7,2.808
6lu7_idAABFgen10,-17.3,0.0,0.0
6lu7_idAABEgen10,-14.3,5.303,1.936
6lu7_idAABEgen10,-14.6,35.229,31.732
6lu7_idAABEgen10,-14.6,7.039,3.101
6lu7_idAABEgen10,-14.7,21.563,17.432
6lu7_idAABEgen10,-14.8,7.558,1.558
6lu7_idAABEgen10,-15.9,5.598,2.326
6lu7_idAABEgen10,-16.9,0.0,0.0
6lu7_idAABBgen10,-14.3,7.269,2.662
6lu7_idAABBgen10,-14.4,5.639,3.459
6lu7_idAABBgen10,-14.6,7.129,2.35
6lu7_idAABBgen10,-14.8,7.009,2.872
6lu7_idAABBgen10,-14.8,24.923,19.715
6lu7_idAABBgen10,-14.9,14.743,9.187
6lu7_idAABBgen10,-15.6,4.193,2.621
6lu7_idAABBgen10,-16.8,7.096,2.913
6lu7_idAABBgen10,-17.1,0.0,0.0
6lu7_idAAAXgen10,-12.5,10.685,7.665
6lu7_idAAAXgen10,-12.6,19.291,12.552
6lu7_idAAAXgen10,-12.9,2.966,1.686
6lu7_idAAAXgen10,-12.9,16.419,10.563
6lu7_idAAAXgen10,-12.9,6.054,3.332
6lu7_idAAAXgen10,-13.0,6.761,2.795
6lu7_idAAAXgen10,-13.9,4.498,2.921
6lu7_idAAAXgen10,-14.0,7.055,3.124
6lu7_idAAAXgen10,-15.4,0.0,0.0
6lu7_idAAAVgen10,-13.6,15.557,12.862
6lu7_idAAAVgen10,-13.6,8.402,4.049
6lu7_idAAAVgen10,-13.7,15.607,13.638
6lu7_idAAAVgen10,-13.7,8.863,2.357
6lu7_idAAAVgen10,-13.8,5.42,2.735
6lu7_idAAAVgen10,-14.0,6.219,1.739
6lu7_idAAAVgen10,-14.6,6.778,2.015
6lu7_idAAAVgen10,-15.0,7.257,1.822
6lu7_idAAAVgen10,-15.6,0.0,0.0
6lu7_idAAAUgen10,-14.3,38.192,34.567
6lu7_idAAAUgen10,-14.5,23.578,19.044
6lu7_idAAAUgen10,-14.7,24.304,20.448
6lu7_idAAAUgen10,-14.7,23.403,19.54
6lu7_idAAAUgen10,-14.9,7.049,2.741
6lu7_idAAAUgen10,-15.2,7.912,1.927
6lu7_idAAAUgen10,-15.3,14.325,8.245
6lu7_idAAAUgen10,-16.2,4.318,2.604
6lu7_idAAAUgen10,-17.2,0.0,0.0
6lu7_idAAATgen10,-12.2,5.906,1.574
6lu7_idAAATgen10,-12.3,38.835,33.194
6lu7_idAAATgen10,-12.5,37.266,32.109
6lu7_idAAATgen10,-12.6,8.133,2.54
6lu7_idAAATgen10,-12.8,7.086,1.257
6lu7_idAAATgen10,-13.0,8.417,2.728
6lu7_idAAATgen10,-13.2,3.726,2.064
6lu7_idAAATgen10,-13.3,7.918,2.605
6lu7_idAAATgen10,-13.3,0.0,0.0
6lu7_idAAASgen10,-13.2,2.901,1.48
6lu7_idAAASgen10,-13.2,19.785,13.206
6lu7_idAAASgen10,-13.4,3.867,2.462
6lu7_idAAASgen10,-13.5,25.502,21.501
6lu7_idAAASgen10,-13.8,8.096,1.249
6lu7_idAAASgen10,-15.0,1.483,1.027
6lu7_idAAASgen10,-15.1,1.984,1.248
6lu7_idAAASgen10,-15.2,2.487,1.477
6lu7_idAAASgen10,-15.2,0.0,0.0
6lu7_idAAAQgen10,-14.0,2.674,1.66
6lu7_idAAAQgen10,-14.1,35.512,31.068
6lu7_idAAAQgen10,-14.2,20.906,15.336
6lu7_idAAAQgen10,-14.3,26.371,21.184
6lu7_idAAAQgen10,-14.6,8.743,3.351
6lu7_idAAAQgen10,-14.7,6.442,2.128
6lu7_idAAAQgen10,-16.9,0.0,0.0
6lu7_idAAANgen10,-14.7,2.489,1.227
6lu7_idAAANgen10,-14.8,23.558,19.703
6lu7_idAAANgen10,-15.2,7.538,1.72
6lu7_idAAANgen10,-15.4,7.055,2.85
6lu7_idAAANgen10,-15.7,4.159,2.57
6lu7_idAAANgen10,-17.0,7.033,2.796
6lu7_idAAANgen10,-17.3,0.142,0.142
6lu7_idAAANgen10,-17.4,0.0,0.0
6lu7_idAAAJgen10,-14.6,38.307,34.542
6lu7_idAAAJgen10,-14.6,23.666,19.033
6lu7_idAAAJgen10,-14.7,24.297,20.522
6lu7_idAAAJgen10,-15.1,23.53,19.57
6lu7_idAAAJgen10,-15.1,6.476,3.679
6lu7_idAAAJgen10,-15.2,14.522,8.314
6lu7_idAAAJgen10,-16.1,7.28,2.808
6lu7_idAAAJgen10,-16.1,3.959,2.386
6lu7_idAAAJgen10,-17.5,0.0,0.0
6lu7_idAAAIgen10,-13.3,8.625,2.224
6lu7_idAAAIgen10,-13.3,9.128,2.211
6lu7_idAAAIgen10,-13.4,7.283,2.474
6lu7_idAAAIgen10,-13.4,15.485,12.697
6lu7_idAAAIgen10,-13.6,19.533,13.257
6lu7_idAAAIgen10,-13.7,16.267,12.777
6lu7_idAAAIgen10,-14.5,5.771,2.011
6lu7_idAAAIgen10,-14.6,9.569,1.855
6lu7_idAAAIgen10,-15.6,0.0,0.0
6lu7_idAAAHgen10,-13.4,29.429,28.606
6lu7_idAAAHgen10,-13.5,8.368,4.467
6lu7_idAAAHgen10,-13.7,6.777,2.738
6lu7_idAAAHgen10,-13.8,32.02,28.758
6lu7_idAAAHgen10,-14.3,6.333,3.803
6lu7_idAAAHgen10,-14.9,4.13,2.606
6lu7_idAAAHgen10,-15.5,6.655,2.93
6lu7_idAAAHgen10,-16.3,0.0,0.0
6lu7_idAAAGgen10,-13.4,29.499,28.676
6lu7_idAAAGgen10,-13.5,6.804,2.783
6lu7_idAAAGgen10,-13.5,8.382,4.432
6lu7_idAAAGgen10,-13.9,7.999,2.636
6lu7_idAAAGgen10,-14.1,7.374,2.054
6lu7_idAAAGgen10,-14.3,6.125,3.689
6lu7_idAAAGgen10,-14.9,4.185,2.621
6lu7_idAAAGgen10,-15.5,6.65,2.963
6lu7_idAAAGgen10,-16.2,0.0,0.0
6lu7_idAAAFgen10,-14.6,4.507,2.322
6lu7_idAAAFgen10,-14.7,24.391,20.752
6lu7_idAAAFgen10,-14.7,6.839,3.703
6lu7_idAAAFgen10,-15.4,6.955,2.324
6lu7_idAAAFgen10,-15.6,16.637,9.83
6lu7_idAAAFgen10,-16.3,7.366,2.375
6lu7_idAAAFgen10,-17.5,0.0,0.0
6lu7_idAAAFgen10,-17.5,7.079,2.927
6lu7_idAAAEgen10,-9.8,7.567,1.769
6lu7_idAAAEgen10,-9.8,43.561,38.16
6lu7_idAAAEgen10,-9.9,31.312,29.927
