Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAAAgen1,-7.1,0.0,0.0
6lu7_idAAAAgen1,-6.7,6.011,3.927
6lu7_idAAAAgen1,-6.4,4.598,2.43
6lu7_idAAAAgen1,-6.3,24.721,22.163
6lu7_idAAAAgen1,-6.3,6.127,3.417
6lu7_idAAAAgen1,-6.2,5.648,2.936
6lu7_idAAAAgen1,-6.2,2.085,1.584
6lu7_idAAAAgen1,-6.1,25.765,22.822
6lu7_idAAAAgen1,-6.0,26.233,23.732
6lu7_idAAABgen1,-7.6,0.0,0.0
6lu7_idAAABgen1,-6.7,6.349,3.094
6lu7_idAAABgen1,-6.6,8.112,2.961
6lu7_idAAABgen1,-6.6,6.304,3.324
6lu7_idAAABgen1,-6.6,7.227,3.519
6lu7_idAAABgen1,-6.6,2.333,1.819
6lu7_idAAABgen1,-6.5,6.978,3.401
6lu7_idAAABgen1,-6.5,28.299,22.203
6lu7_idAAABgen1,-6.4,10.469,3.483
6lu7_idAAACgen1,-8.2,0.0,0.0
6lu7_idAAACgen1,-8.1,10.997,9.246
6lu7_idAAACgen1,-8.1,9.876,6.384
6lu7_idAAACgen1,-7.9,12.426,9.546
6lu7_idAAACgen1,-7.9,13.785,6.146
6lu7_idAAACgen1,-7.9,11.835,8.897
6lu7_idAAACgen1,-7.7,5.256,3.481
6lu7_idAAACgen1,-7.7,13.602,9.911
6lu7_idAAACgen1,-7.7,34.226,33.167
6lu7_idAAADgen1,-5.6,0.0,0.0
6lu7_idAAADgen1,-5.6,8.879,2.996
6lu7_idAAADgen1,-5.5,29.494,26.182
6lu7_idAAADgen1,-5.4,26.134,20.429
6lu7_idAAADgen1,-5.3,30.025,25.808
6lu7_idAAADgen1,-5.2,10.117,4.02
6lu7_idAAADgen1,-5.2,28.055,22.308
6lu7_idAAADgen1,-5.2,8.77,5.547
6lu7_idAAADgen1,-5.1,7.975,3.123
6lu7_idAAAEgen1,-5.5,0.0,0.0
6lu7_idAAAEgen1,-5.4,7.698,1.446
6lu7_idAAAEgen1,-5.4,7.291,1.564
6lu7_idAAAEgen1,-5.3,25.733,22.488
6lu7_idAAAEgen1,-5.2,7.126,2.004
6lu7_idAAAEgen1,-5.2,25.481,22.227
6lu7_idAAAEgen1,-5.1,7.757,2.971
6lu7_idAAAEgen1,-5.1,7.4,4.0
6lu7_idAAAEgen1,-5.1,25.458,22.269
6lu7_idAAAFgen1,-11.5,0.0,0.0
6lu7_idAAAFgen1,-9.8,39.082,36.073
6lu7_idAAAFgen1,-9.3,34.895,27.431
6lu7_idAAAFgen1,-9.1,33.913,29.045
6lu7_idAAAFgen1,-9.1,25.866,20.214
