Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAACgen2,-11.6,0.0,0.0
6lu7_idAAACgen2,-11.4,7.76,1.63
6lu7_idAAACgen2,-11.2,6.793,1.705
6lu7_idAABEgen2,-11.1,0.0,0.0
6lu7_idAAAKgen2,-11.1,0.0,0.0
6lu7_idAABBgen2,-11.0,0.0,0.0
6lu7_idAAALgen2,-11.0,0.0,0.0
6lu7_idAABBgen2,-10.9,7.187,2.631
6lu7_idAAAUgen2,-10.8,0.0,0.0
6lu7_idAAAUgen2,-10.7,32.7,27.7
6lu7_idAAALgen2,-10.7,34.373,29.081
6lu7_idAABBgen2,-10.6,9.435,4.56
6lu7_idAAAUgen2,-10.6,30.129,24.852
6lu7_idAAACgen2,-10.6,7.55,1.45
6lu7_idAAACgen2,-10.6,7.225,1.907
6lu7_idAABGgen2,-10.5,0.0,0.0
6lu7_idAABBgen2,-10.5,6.063,3.536
6lu7_idAABBgen2,-10.5,8.708,3.789
6lu7_idAAAUgen2,-10.5,13.807,7.538
6lu7_idAAACgen2,-10.5,9.11,3.248
6lu7_idAAACgen2,-10.5,9.561,2.018
6lu7_idAAAKgen2,-10.5,12.409,2.261
6lu7_idAAALgen2,-10.5,17.891,11.84
6lu7_idAAAQgen2,-10.5,0.0,0.0
6lu7_idAAAUgen2,-10.4,41.028,36.384
6lu7_idAAAUgen2,-10.4,42.054,37.57
6lu7_idAAALgen2,-10.4,25.203,20.377
6lu7_idAABBgen2,-10.3,9.223,3.574
6lu7_idAAACgen2,-10.3,33.027,31.503
6lu7_idAAACgen2,-10.3,6.58,2.07
6lu7_idAAAKgen2,-10.3,26.366,21.779
6lu7_idAABGgen2,-10.2,7.947,2.301
6lu7_idAAAUgen2,-10.2,43.219,38.929
6lu7_idAAAEgen2,-10.2,0.0,0.0
6lu7_idAAAIgen2,-10.2,0.0,0.0
6lu7_idAAAKgen2,-10.2,28.402,23.229
6lu7_idAAAQgen2,-10.2,8.736,4.022
6lu7_idAAAUgen2,-10.1,41.99,37.765
6lu7_idAAAEgen2,-10.1,17.311,9.563
6lu7_idAAAEgen2,-10.1,12.934,5.332
6lu7_idAABEgen2,-10.0,32.97,31.48
6lu7_idAABEgen2,-10.0,15.483,8.044
6lu7_idAABEgen2,-10.0,41.996,40.421
6lu7_idAABBgen2,-10.0,8.345,3.804
6lu7_idAABAgen2,-10.0,0.0,0.0
6lu7_idAAAIgen2,-10.0,8.785,5.178
6lu7_idAAAKgen2,-10.0,27.726,22.219
6lu7_idAAALgen2,-10.0,16.395,12.295
6lu7_idAABEgen2,-9.9,28.666,23.807
6lu7_idAAAUgen2,-9.9,34.527,29.559
6lu7_idAAAEgen2,-9.9,12.623,5.041
6lu7_idAAAKgen2,-9.9,31.865,25.712
6lu7_idAABHgen2,-9.8,0.0,0.0
6lu7_idAAABgen2,-9.8,0.0,0.0
6lu7_idAAAKgen2,-9.8,12.229,6.586
6lu7_idAAAQgen2,-9.8,2.071,1.298
6lu7_idAAAQgen2,-9.8,7.559,3.759
6lu7_idAABBgen2,-9.7,44.141,39.336
6lu7_idAABBgen2,-9.7,7.425,2.223
6lu7_idAAABgen2,-9.7,12.009,4.816
6lu7_idAAAIgen2,-9.7,2.665,1.987
6lu7_idAAAKgen2,-9.7,28.275,24.286
6lu7_idAAAKgen2,-9.7,27.081,24.479
6lu7_idAABGgen2,-9.6,36.788,31.891
6lu7_idAABEgen2,-9.6,12.101,7.109
6lu7_idAAAEgen2,-9.6,33.036,25.429
6lu7_idAAAIgen2,-9.6,5.35,2.832
6lu7_idAAAQgen2,-9.6,9.95,4.027
6lu7_idAABGgen2,-9.5,36.971,32.086
6lu7_idAABGgen2,-9.5,7.838,2.421
6lu7_idAABEgen2,-9.5,30.588,25.565
6lu7_idAABAgen2,-9.5,32.067,26.827
6lu7_idAAAIgen2,-9.5,8.69,4.083
6lu7_idAAALgen2,-9.5,15.353,12.721
6lu7_idAAALgen2,-9.5,20.519,16.272
6lu7_idAAALgen2,-9.5,15.646,12.202
6lu7_idAAALgen2,-9.5,14.886,5.336
6lu7_idAAAMgen2,-9.5,0.0,0.0
6lu7_idAAAMgen2,-9.5,10.954,4.294
6lu7_idAAAMgen2,-9.5,25.82,22.499
6lu7_idAAAMgen2,-9.5,26.607,23.479
6lu7_idAAAQgen2,-9.5,2.01,1.505
6lu7_idAABGgen2,-9.4,8.414,2.757
6lu7_idAABEgen2,-9.4,21.443,18.951
6lu7_idAABEgen2,-9.4,31.206,26.807
6lu7_idAABAgen2,-9.4,16.746,11.726
6lu7_idAAAEgen2,-9.4,8.86,3.568
6lu7_idAAABgen2,-9.4,26.138,21.148
6lu7_idAAAIgen2,-9.4,6.049,3.389
6lu7_idAAAIgen2,-9.4,28.935,26.368
6lu7_idAAAMgen2,-9.4,26.657,22.635
6lu7_idAAAMgen2,-9.4,28.527,23.073
6lu7_idAAAQgen2,-9.4,2.72,2.039
6lu7_idAAAQgen2,-9.4,8.971,3.139
6lu7_idAABGgen2,-9.3,9.385,3.412
6lu7_idAAAEgen2,-9.3,49.8,43.45
6lu7_idAAAEgen2,-9.3,37.028,28.217
6lu7_idAAAEgen2,-9.3,20.646,13.812
6lu7_idAAABgen2,-9.3,2.19,1.55
6lu7_idAAAQgen2,-9.3,8.385,3.689
6lu7_idAABAgen2,-9.2,20.718,15.517
6lu7_idAABAgen2,-9.2,5.578,3.229
6lu7_idAABAgen2,-9.2,26.568,21.389
6lu7_idAAAAgen2,-9.2,0.0,0.0
6lu7_idAAAIgen2,-9.2,10.826,3.042
6lu7_idAAAIgen2,-9.2,22.332,19.149
6lu7_idAAAMgen2,-9.2,26.968,22.185
6lu7_idAAAMgen2,-9.2,25.625,21.198
6lu7_idAABGgen2,-9.1,11.524,2.896
6lu7_idAABGgen2,-9.1,11.927,3.336
6lu7_idAABAgen2,-9.1,30.44,26.669
6lu7_idAAAYgen2,-9.1,0.0,0.0
6lu7_idAAABgen2,-9.1,4.498,2.626
6lu7_idAAAMgen2,-9.1,26.956,22.066
6lu7_idAABHgen2,-9.0,7.704,2.718
6lu7_idAABAgen2,-9.0,22.489,15.593
6lu7_idAAABgen2,-9.0,30.012,23.749
6lu7_idAAABgen2,-9.0,30.966,25.514
6lu7_idAABAgen2,-8.9,24.522,18.887
6lu7_idAAABgen2,-8.9,25.045,18.339
6lu7_idAAABgen2,-8.9,25.719,20.902
6lu7_idAAAOgen2,-8.9,0.0,0.0
6lu7_idAABHgen2,-8.8,7.251,2.637
6lu7_idAAATgen2,-8.8,0.0,0.0
6lu7_idAAATgen2,-8.8,4.561,1.812
6lu7_idAAASgen2,-8.7,0.0,0.0
6lu7_idAAASgen2,-8.7,24.198,20.149
6lu7_idAABHgen2,-8.6,6.805,2.658
6lu7_idAAAYgen2,-8.6,37.233,30.217
6lu7_idAAAYgen2,-8.6,29.258,23.624
6lu7_idAAAAgen2,-8.6,2.869,1.562
6lu7_idAAAAgen2,-8.5,7.29,3.052
6lu7_idAAAGgen2,-8.5,0.0,0.0
6lu7_idAAAOgen2,-8.5,6.232,2.808
6lu7_idAABHgen2,-8.4,15.631,9.146
