Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAAAgen2,-9.2,0.0,0.0
6lu7_idAAAAgen2,-8.6,2.869,1.562
6lu7_idAAAAgen2,-8.5,7.29,3.052
6lu7_idAAAAgen2,-8.3,7.236,2.852
6lu7_idAAAAgen2,-8.3,5.505,3.03
6lu7_idAAAAgen2,-8.3,23.537,18.892
6lu7_idAAAAgen2,-7.7,40.52,36.193
6lu7_idAAAAgen2,-7.7,15.481,12.47
6lu7_idAAAAgen2,-7.7,24.072,22.079
6lu7_idAAABgen2,-9.8,0.0,0.0
6lu7_idAAABgen2,-9.7,12.009,4.816
6lu7_idAAABgen2,-9.4,26.138,21.148
6lu7_idAAABgen2,-9.3,2.19,1.55
6lu7_idAAABgen2,-9.1,4.498,2.626
6lu7_idAAABgen2,-9.0,30.966,25.514
6lu7_idAAABgen2,-9.0,30.012,23.749
6lu7_idAAABgen2,-8.9,25.719,20.902
6lu7_idAAABgen2,-8.9,25.045,18.339
6lu7_idAAACgen2,-11.6,0.0,0.0
6lu7_idAAACgen2,-11.4,7.76,1.63
6lu7_idAAACgen2,-11.2,6.793,1.705
6lu7_idAAACgen2,-10.6,7.225,1.907
6lu7_idAAACgen2,-10.6,7.55,1.45
6lu7_idAAACgen2,-10.5,9.561,2.018
6lu7_idAAACgen2,-10.5,9.11,3.248
6lu7_idAAACgen2,-10.3,6.58,2.07
6lu7_idAAACgen2,-10.3,33.027,31.503
6lu7_idAAADgen2,-5.6,0.0,0.0
6lu7_idAAADgen2,-5.5,5.474,2.62
6lu7_idAAADgen2,-5.4,33.585,31.426
6lu7_idAAADgen2,-5.4,5.135,2.232
6lu7_idAAADgen2,-5.3,5.653,3.166
6lu7_idAAADgen2,-5.2,6.713,2.111
6lu7_idAAADgen2,-4.9,5.148,3.268
6lu7_idAAADgen2,-4.9,24.025,21.206
6lu7_idAAADgen2,-4.8,5.104,3.293
6lu7_idAAAEgen2,-10.2,0.0,0.0
6lu7_idAAAEgen2,-10.1,12.934,5.332
6lu7_idAAAEgen2,-10.1,17.311,9.563
6lu7_idAAAEgen2,-9.9,12.623,5.041
6lu7_idAAAEgen2,-9.6,33.036,25.429
