Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAAAgen3,-10.9,0.0,0.0
6lu7_idAAAAgen3,-9.9,8.581,4.024
6lu7_idAAAAgen3,-9.8,24.543,18.38
6lu7_idAAAAgen3,-9.8,2.066,1.518
6lu7_idAAAAgen3,-9.6,32.315,24.63
6lu7_idAAAAgen3,-9.4,32.559,26.489
6lu7_idAAAAgen3,-9.3,15.68,5.572
6lu7_idAAAAgen3,-9.3,25.582,19.216
6lu7_idAAAAgen3,-9.3,34.579,26.449
6lu7_idAAABgen3,-10.8,0.0,0.0
6lu7_idAAABgen3,-10.0,19.941,16.7
6lu7_idAAABgen3,-9.8,14.659,7.063
6lu7_idAAABgen3,-9.7,28.394,22.373
6lu7_idAAABgen3,-9.5,24.399,20.186
6lu7_idAAABgen3,-9.5,30.531,27.491
6lu7_idAAABgen3,-9.4,31.481,27.491
6lu7_idAAABgen3,-9.4,32.576,28.621
6lu7_idAAABgen3,-9.4,7.332,2.322
6lu7_idAAACgen3,-6.6,2.15,1.573
6lu7_idAAACgen3,-6.6,0.0,0.0
6lu7_idAAACgen3,-6.5,41.465,38.214
6lu7_idAAACgen3,-6.4,8.624,2.923
6lu7_idAAACgen3,-6.4,3.682,2.257
6lu7_idAAACgen3,-6.4,3.399,2.216
6lu7_idAAACgen3,-6.3,8.429,2.507
6lu7_idAAACgen3,-6.3,21.014,19.05
6lu7_idAAACgen3,-6.3,3.681,2.372
6lu7_idAAADgen3,-10.4,0.0,0.0
6lu7_idAAADgen3,-10.0,41.374,36.307
6lu7_idAAADgen3,-9.9,8.25,2.509
6lu7_idAAADgen3,-9.8,8.233,2.73
6lu7_idAAADgen3,-9.7,6.86,2.884
6lu7_idAAADgen3,-8.9,6.699,3.172
6lu7_idAAADgen3,-8.8,10.069,4.481
6lu7_idAAADgen3,-8.8,13.202,11.262
6lu7_idAAADgen3,-8.8,40.648,36.342
6lu7_idAAAEgen3,-5.0,5.093,2.193
6lu7_idAAAEgen3,-5.0,0.0,0.0
