Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAIUgen3,-10.2,41.263,36.263
6lu7_idAAIUgen3,-10.3,21.625,15.774
6lu7_idAAIUgen3,-10.5,31.058,25.704
6lu7_idAAIUgen3,-10.6,33.368,27.413
6lu7_idAAIUgen3,-10.9,12.705,3.781
6lu7_idAAIUgen3,-11.2,25.47,17.649
6lu7_idAAIUgen3,-11.4,38.765,34.398
6lu7_idAAIUgen3,-11.9,24.669,17.299
6lu7_idAAIUgen3,-12.1,0.0,0.0
6lu7_idAAITgen3,-10.0,39.317,35.67
6lu7_idAAITgen3,-10.0,22.13,17.612
6lu7_idAAITgen3,-10.1,24.363,19.757
6lu7_idAAITgen3,-10.3,9.364,3.016
6lu7_idAAITgen3,-10.3,2.401,1.455
6lu7_idAAITgen3,-10.7,8.394,1.968
6lu7_idAAITgen3,-10.8,27.232,25.421
6lu7_idAAITgen3,-11.3,2.924,1.813
6lu7_idAAITgen3,-11.8,0.0,0.0
6lu7_idAAIRgen3,-8.8,29.473,23.545
6lu7_idAAIRgen3,-9.0,35.272,30.983
6lu7_idAAIRgen3,-9.3,19.723,13.294
6lu7_idAAIRgen3,-9.3,27.505,23.239
6lu7_idAAIRgen3,-9.3,12.578,3.124
6lu7_idAAIRgen3,-9.4,26.262,20.649
6lu7_idAAIRgen3,-9.7,9.872,3.214
6lu7_idAAIRgen3,-9.9,8.115,2.484
6lu7_idAAIRgen3,-10.4,0.0,0.0
6lu7_idAAIQgen3,-5.9,25.924,23.071
6lu7_idAAIQgen3,-6.0,28.447,27.672
6lu7_idAAIQgen3,-6.5,26.781,23.987
6lu7_idAAIQgen3,-6.6,26.591,24.149
6lu7_idAAIQgen3,-6.7,5.421,3.828
6lu7_idAAIQgen3,-6.7,4.738,3.224
6lu7_idAAIQgen3,-6.9,26.52,24.5
6lu7_idAAIQgen3,-7.3,5.051,2.131
6lu7_idAAIQgen3,-7.5,0.0,0.0
6lu7_idAAIPgen3,-9.7,35.679,30.5
6lu7_idAAIPgen3,-9.7,45.271,40.166
6lu7_idAAIPgen3,-9.8,45.573,40.316
6lu7_idAAIPgen3,-10.0,10.631,5.446
6lu7_idAAIPgen3,-10.2,9.204,4.898
6lu7_idAAIPgen3,-10.3,3.246,2.145
6lu7_idAAIPgen3,-10.4,8.723,5.292
6lu7_idAAIPgen3,-10.4,10.283,4.027
6lu7_idAAIPgen3,-10.9,0.0,0.0
6lu7_idAAIOgen3,-8.9,16.914,8.431
6lu7_idAAIOgen3,-8.9,12.142,11.099
6lu7_idAAIOgen3,-9.0,19.537,13.301
6lu7_idAAIOgen3,-9.0,6.488,2.25
6lu7_idAAIOgen3,-9.1,10.264,3.684
6lu7_idAAIOgen3,-9.2,40.024,34.293
6lu7_idAAIOgen3,-9.4,40.174,34.063
6lu7_idAAIOgen3,-9.9,42.71,36.516
6lu7_idAAIOgen3,-10.1,0.0,0.0
6lu7_idAAINgen3,-8.8,3.308,2.57
6lu7_idAAINgen3,-8.8,24.793,22.015
6lu7_idAAINgen3,-8.9,23.657,20.124
6lu7_idAAINgen3,-8.9,7.621,3.495
6lu7_idAAINgen3,-9.1,23.461,19.839
6lu7_idAAINgen3,-9.2,2.53,2.058
6lu7_idAAINgen3,-9.3,1.519,1.15
6lu7_idAAINgen3,-9.6,8.277,3.076
6lu7_idAAINgen3,-10.1,0.0,0.0
6lu7_idAAIMgen3,-7.9,43.005,38.425
6lu7_idAAIMgen3,-8.0,18.855,13.297
6lu7_idAAIMgen3,-8.0,24.229,23.796
6lu7_idAAIMgen3,-8.2,6.962,2.886
6lu7_idAAIMgen3,-8.2,19.499,12.587
6lu7_idAAIMgen3,-8.3,6.143,1.882
6lu7_idAAIMgen3,-8.3,25.145,22.559
6lu7_idAAIMgen3,-8.3,3.482,2.42
6lu7_idAAIMgen3,-8.4,0.0,0.0
6lu7_idAAILgen3,-4.9,7.575,5.041
6lu7_idAAILgen3,-5.0,20.132,17.892
6lu7_idAAILgen3,-5.1,6.396,5.379
6lu7_idAAILgen3,-5.1,7.241,4.923
6lu7_idAAILgen3,-5.1,6.41,5.307
6lu7_idAAILgen3,-5.3,6.081,4.133
6lu7_idAAILgen3,-5.3,6.039,3.733
6lu7_idAAILgen3,-5.3,6.14,2.804
6lu7_idAAILgen3,-5.7,0.0,0.0
6lu7_idAAIKgen3,-8.2,41.969,36.578
6lu7_idAAIKgen3,-8.2,48.665,42.56
6lu7_idAAIKgen3,-8.3,41.618,36.501
6lu7_idAAIKgen3,-8.4,47.666,41.937
6lu7_idAAIKgen3,-8.4,45.546,39.403
6lu7_idAAIKgen3,-8.5,27.499,21.669
6lu7_idAAIKgen3,-8.5,42.451,36.678
6lu7_idAAIKgen3,-8.6,45.278,39.433
6lu7_idAAIKgen3,-9.5,0.0,0.0
6lu7_idAAIJgen3,-7.8,26.165,20.149
6lu7_idAAIJgen3,-7.9,16.44,9.168
6lu7_idAAIJgen3,-7.9,23.796,20.126
6lu7_idAAIJgen3,-8.1,26.754,20.257
6lu7_idAAIJgen3,-8.1,25.78,20.322
6lu7_idAAIJgen3,-8.2,25.517,20.818
6lu7_idAAIJgen3,-8.7,25.012,20.374
6lu7_idAAIJgen3,-8.7,25.171,21.141
6lu7_idAAIJgen3,-8.8,0.0,0.0
6lu7_idAAIIgen3,-6.7,32.749,27.229
6lu7_idAAIIgen3,-6.7,24.563,22.691
6lu7_idAAIIgen3,-6.9,7.675,3.212
6lu7_idAAIIgen3,-7.0,7.365,3.559
6lu7_idAAIIgen3,-7.0,2.223,1.521
6lu7_idAAIIgen3,-7.1,35.008,32.508
6lu7_idAAIIgen3,-7.2,4.505,2.535
6lu7_idAAIIgen3,-7.2,6.62,2.604
6lu7_idAAIIgen3,-7.8,0.0,0.0
6lu7_idAAIHgen3,-9.0,43.636,38.952
6lu7_idAAIHgen3,-9.1,43.478,38.567
6lu7_idAAIHgen3,-9.5,9.384,3.367
6lu7_idAAIHgen3,-9.6,36.736,31.933
6lu7_idAAIHgen3,-9.7,8.191,2.9
6lu7_idAAIHgen3,-9.8,36.107,31.341
6lu7_idAAIHgen3,-9.8,31.895,30.837
6lu7_idAAIHgen3,-10.0,7.482,2.414
6lu7_idAAIHgen3,-11.3,0.0,0.0
6lu7_idAAIGgen3,-8.7,22.584,19.739
6lu7_idAAIGgen3,-8.7,13.545,8.363
6lu7_idAAIGgen3,-8.8,22.854,20.009
6lu7_idAAIGgen3,-9.0,7.911,5.524
6lu7_idAAIGgen3,-9.0,9.639,4.497
6lu7_idAAIGgen3,-9.1,23.82,19.831
6lu7_idAAIGgen3,-9.1,7.129,4.189
6lu7_idAAIGgen3,-9.5,34.431,30.217
6lu7_idAAIGgen3,-9.6,0.0,0.0
6lu7_idAAIFgen3,-9.4,8.307,3.035
6lu7_idAAIFgen3,-9.4,7.307,2.827
6lu7_idAAIFgen3,-9.4,4.185,2.408
6lu7_idAAIFgen3,-9.5,9.518,6.071
6lu7_idAAIFgen3,-9.7,17.51,9.103
6lu7_idAAIFgen3,-10.3,8.023,3.119
6lu7_idAAIFgen3,-10.3,7.666,3.192
6lu7_idAAIFgen3,-10.7,7.818,2.699
6lu7_idAAIFgen3,-11.1,0.0,0.0
6lu7_idAAIEgen3,-6.1,28.387,24.434
6lu7_idAAIEgen3,-6.1,23.962,20.625
6lu7_idAAIEgen3,-6.1,25.715,22.982
6lu7_idAAIEgen3,-6.2,25.735,21.843
6lu7_idAAIEgen3,-6.3,23.692,19.953
6lu7_idAAIEgen3,-6.5,5.786,4.058
6lu7_idAAIEgen3,-6.5,24.576,20.652
6lu7_idAAIEgen3,-6.8,5.516,3.982
6lu7_idAAIEgen3,-6.8,0.0,0.0
6lu7_idAAIDgen3,-5.1,35.47,33.347
6lu7_idAAIDgen3,-5.1,18.548,16.029
6lu7_idAAIDgen3,-5.1,35.459,32.298
6lu7_idAAIDgen3,-5.2,54.579,52.541
6lu7_idAAIDgen3,-5.2,3.156,2.272
6lu7_idAAIDgen3,-5.3,2.967,2.013
6lu7_idAAIDgen3,-5.4,35.055,32.844
6lu7_idAAIDgen3,-5.4,34.544,31.574
6lu7_idAAIDgen3,-5.4,0.0,0.0
6lu7_idAAICgen3,-8.5,22.586,18.767
6lu7_idAAICgen3,-8.5,20.685,17.748
6lu7_idAAICgen3,-8.7,39.309,33.444
6lu7_idAAICgen3,-8.8,24.821,20.031
6lu7_idAAICgen3,-9.1,25.917,22.294
6lu7_idAAICgen3,-9.2,10.605,7.745
6lu7_idAAICgen3,-9.7,25.032,19.826
6lu7_idAAICgen3,-9.7,43.887,39.426
6lu7_idAAICgen3,-9.8,0.0,0.0
6lu7_idAAIBgen3,-11.0,30.406,24.327
6lu7_idAAIBgen3,-11.0,6.472,2.32
6lu7_idAAIBgen3,-11.1,22.338,16.896
6lu7_idAAIBgen3,-11.3,32.954,28.918
6lu7_idAAIBgen3,-11.5,29.113,22.645
6lu7_idAAIBgen3,-11.5,29.344,23.135
6lu7_idAAIBgen3,-11.5,3.348,1.994
6lu7_idAAIBgen3,-11.9,11.717,2.81
6lu7_idAAIBgen3,-12.1,0.0,0.0
6lu7_idAAIAgen3,-7.0,27.397,24.326
6lu7_idAAIAgen3,-7.2,9.07,6.071
6lu7_idAAIAgen3,-7.2,6.889,2.557
6lu7_idAAIAgen3,-7.4,24.235,21.105
6lu7_idAAIAgen3,-7.6,23.789,20.681
6lu7_idAAIAgen3,-7.7,7.41,4.861
6lu7_idAAIAgen3,-7.8,3.263,2.195
6lu7_idAAIAgen3,-8.1,3.262,2.077
6lu7_idAAIAgen3,-9.4,0.0,0.0
6lu7_idAAHZgen3,-9.7,34.306,32.094
6lu7_idAAHZgen3,-10.1,25.919,19.701
6lu7_idAAHZgen3,-10.1,10.891,5.428
6lu7_idAAHZgen3,-10.1,9.141,4.191
6lu7_idAAHZgen3,-10.3,13.441,9.259
6lu7_idAAHZgen3,-10.3,41.648,36.126
6lu7_idAAHZgen3,-10.5,22.833,16.979
