Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAEHgen4,-10.1,8.667,2.372
6lu7_idAAEHgen4,-10.2,31.465,28.339
6lu7_idAAEHgen4,-10.2,22.555,14.492
6lu7_idAAEHgen4,-10.3,10.421,5.504
6lu7_idAAEHgen4,-10.4,10.225,4.859
6lu7_idAAEHgen4,-10.4,11.616,5.301
6lu7_idAAEHgen4,-10.6,7.723,4.781
6lu7_idAAEHgen4,-11.2,8.937,3.686
6lu7_idAAEHgen4,-11.9,0.0,0.0
6lu7_idAAEGgen4,-12.6,27.539,24.542
6lu7_idAAEGgen4,-12.6,11.404,2.175
6lu7_idAAEGgen4,-12.7,9.902,1.784
6lu7_idAAEGgen4,-12.8,7.032,1.791
6lu7_idAAEGgen4,-12.9,9.355,4.554
6lu7_idAAEGgen4,-13.6,32.736,31.299
6lu7_idAAEGgen4,-14.1,7.624,1.998
6lu7_idAAEGgen4,-14.4,10.104,1.772
6lu7_idAAEGgen4,-15.4,0.0,0.0
6lu7_idAAEFgen4,-6.3,32.212,29.516
6lu7_idAAEFgen4,-6.3,23.641,21.707
6lu7_idAAEFgen4,-6.4,6.963,3.25
6lu7_idAAEFgen4,-6.4,25.357,22.676
6lu7_idAAEFgen4,-6.5,5.933,3.383
6lu7_idAAEFgen4,-6.5,8.049,5.84
6lu7_idAAEFgen4,-7.1,6.085,4.846
6lu7_idAAEFgen4,-7.4,25.655,22.885
6lu7_idAAEFgen4,-7.4,0.0,0.0
6lu7_idAAEEgen4,-7.8,17.356,15.376
6lu7_idAAEEgen4,-7.8,41.006,37.81
6lu7_idAAEEgen4,-7.8,32.147,27.72
6lu7_idAAEEgen4,-8.0,5.49,2.227
6lu7_idAAEEgen4,-8.2,9.175,4.225
6lu7_idAAEEgen4,-8.3,4.152,2.802
6lu7_idAAEEgen4,-8.6,7.228,2.523
6lu7_idAAEEgen4,-8.7,7.475,2.474
6lu7_idAAEEgen4,-8.8,0.0,0.0
6lu7_idAAECgen4,-11.6,0.0,0.0
6lu7_idAAECgen4,-11.3,2.326,1.342
6lu7_idAAECgen4,-11.0,8.937,3.617
6lu7_idAAECgen4,-10.7,7.095,2.282
6lu7_idAAECgen4,-10.5,11.395,5.221
6lu7_idAAECgen4,-10.5,8.677,2.389
6lu7_idAAECgen4,-10.4,22.315,12.827
6lu7_idAAECgen4,-10.4,22.461,14.538
6lu7_idAAECgen4,-10.3,9.212,4.172
6lu7_idAAEBgen4,-6.7,0.0,0.0
6lu7_idAAEBgen4,-6.6,3.493,2.117
6lu7_idAAEBgen4,-6.5,32.859,28.809
6lu7_idAAEBgen4,-6.4,26.162,22.62
6lu7_idAAEBgen4,-6.3,9.241,4.683
6lu7_idAAEBgen4,-6.3,22.787,20.128
6lu7_idAAEBgen4,-6.3,7.521,4.779
6lu7_idAAEBgen4,-6.2,8.953,4.658
6lu7_idAAEBgen4,-6.2,19.711,18.05
6lu7_idAAEAgen4,-9.6,0.0,0.0
6lu7_idAAEAgen4,-9.5,20.46,17.939
6lu7_idAAEAgen4,-9.5,18.715,13.574
6lu7_idAAEAgen4,-9.4,19.587,13.383
6lu7_idAAEAgen4,-9.4,2.85,1.641
6lu7_idAAEAgen4,-9.3,32.457,27.886
6lu7_idAAEAgen4,-9.3,20.116,13.512
6lu7_idAAEAgen4,-9.2,32.542,27.863
6lu7_idAAEAgen4,-9.2,28.303,24.341
6lu7_idAADYgen4,-7.8,0.0,0.0
6lu7_idAADYgen4,-7.6,5.459,2.6
6lu7_idAADYgen4,-7.4,7.383,2.674
6lu7_idAADYgen4,-7.3,26.11,22.768
6lu7_idAADYgen4,-7.3,27.028,23.3
6lu7_idAADYgen4,-7.3,27.719,24.259
6lu7_idAADYgen4,-7.3,25.938,23.084
6lu7_idAADYgen4,-7.2,5.689,3.931
6lu7_idAADYgen4,-7.1,25.893,22.355
6lu7_idAADXgen4,-8.2,0.0,0.0
6lu7_idAADXgen4,-8.0,4.941,2.905
6lu7_idAADXgen4,-8.0,5.738,2.12
6lu7_idAADXgen4,-7.8,7.359,4.1
6lu7_idAADXgen4,-7.7,6.193,2.988
6lu7_idAADXgen4,-7.7,5.93,2.197
6lu7_idAADXgen4,-7.5,23.856,21.123
6lu7_idAADXgen4,-7.5,38.473,37.256
6lu7_idAADXgen4,-7.4,22.331,20.353
6lu7_idAADWgen4,-11.6,0.0,0.0
6lu7_idAADWgen4,-11.4,24.646,17.22
6lu7_idAADWgen4,-11.0,11.911,7.448
6lu7_idAADWgen4,-10.8,23.77,16.371
6lu7_idAADWgen4,-10.7,17.309,8.383
6lu7_idAADWgen4,-10.7,23.741,18.918
6lu7_idAADWgen4,-10.6,26.806,17.506
6lu7_idAADWgen4,-10.6,6.995,1.934
6lu7_idAADWgen4,-10.6,31.182,27.95
6lu7_idAADUgen4,-10.8,0.0,0.0
6lu7_idAADUgen4,-10.8,0.0,0.0
6lu7_idAADUgen4,-10.7,21.828,16.257
6lu7_idAADUgen4,-10.5,9.726,2.35
6lu7_idAADUgen4,-10.5,9.74,2.347
6lu7_idAADUgen4,-10.2,9.424,1.991
6lu7_idAADUgen4,-10.1,41.521,36.059
