Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAABEgen5,-9.2,9.086,2.746
6lu7_idAABEgen5,-9.3,13.015,7.612
6lu7_idAABEgen5,-9.4,7.485,3.869
6lu7_idAABEgen5,-9.5,24.277,22.282
6lu7_idAABEgen5,-9.6,2.773,1.766
6lu7_idAABEgen5,-10.1,4.04,2.436
6lu7_idAABEgen5,-10.2,1.751,1.114
6lu7_idAABEgen5,-10.2,7.53,1.722
6lu7_idAABEgen5,-10.3,0.0,0.0
6lu7_idAABDgen5,-5.1,24.65,21.688
6lu7_idAABDgen5,-5.1,24.774,21.489
6lu7_idAABDgen5,-5.1,5.649,3.249
6lu7_idAABDgen5,-5.2,3.814,2.825
6lu7_idAABDgen5,-5.3,28.801,26.235
6lu7_idAABDgen5,-5.5,4.289,2.71
6lu7_idAABDgen5,-5.6,25.227,21.98
6lu7_idAABDgen5,-5.7,6.164,3.212
6lu7_idAABDgen5,-5.8,0.0,0.0
6lu7_idAABCgen5,-8.0,3.092,1.815
6lu7_idAABCgen5,-8.0,25.836,23.342
6lu7_idAABCgen5,-8.0,2.994,1.634
6lu7_idAABCgen5,-8.4,26.829,23.192
6lu7_idAABCgen5,-8.4,26.305,23.172
6lu7_idAABCgen5,-8.4,26.283,24.038
6lu7_idAABCgen5,-8.4,4.258,2.544
6lu7_idAABCgen5,-8.6,25.79,23.163
6lu7_idAABCgen5,-8.7,0.0,0.0
6lu7_idAABBgen5,-9.4,15.844,7.496
6lu7_idAABBgen5,-9.4,8.592,2.978
6lu7_idAABBgen5,-9.4,32.282,25.958
6lu7_idAABBgen5,-9.8,26.354,18.963
6lu7_idAABBgen5,-9.8,28.819,23.203
6lu7_idAABBgen5,-10.1,2.622,1.965
6lu7_idAABBgen5,-10.1,3.043,1.756
6lu7_idAABBgen5,-10.4,1.982,1.488
6lu7_idAABBgen5,-10.6,0.0,0.0
6lu7_idAABAgen5,-13.6,7.649,2.541
6lu7_idAABAgen5,-13.6,41.689,36.604
6lu7_idAABAgen5,-13.6,7.89,3.319
6lu7_idAABAgen5,-13.7,7.947,2.573
6lu7_idAABAgen5,-13.7,7.65,1.496
6lu7_idAABAgen5,-13.9,7.917,2.64
6lu7_idAABAgen5,-14.0,7.627,3.218
6lu7_idAABAgen5,-14.2,6.315,2.022
6lu7_idAABAgen5,-14.8,0.0,0.0
6lu7_idAAAZgen5,-10.8,21.86,18.738
6lu7_idAAAZgen5,-10.8,18.283,16.415
6lu7_idAAAZgen5,-10.9,20.115,17.742
6lu7_idAAAZgen5,-11.0,32.251,28.726
6lu7_idAAAZgen5,-11.1,20.772,17.837
6lu7_idAAAZgen5,-11.1,27.949,26.319
6lu7_idAAAZgen5,-11.1,9.04,1.552
6lu7_idAAAZgen5,-11.5,20.403,17.381
6lu7_idAAAZgen5,-11.7,0.0,0.0
6lu7_idAAAYgen5,-5.9,24.872,22.666
6lu7_idAAAYgen5,-6.0,30.012,28.334
6lu7_idAAAYgen5,-6.2,45.423,41.169
6lu7_idAAAYgen5,-6.4,32.371,26.611
6lu7_idAAAYgen5,-6.4,26.295,23.588
6lu7_idAAAYgen5,-6.7,6.495,3.337
6lu7_idAAAYgen5,-6.9,4.538,2.864
6lu7_idAAAYgen5,-7.0,25.707,23.929
6lu7_idAAAYgen5,-7.2,0.0,0.0
6lu7_idAAAWgen5,-6.3,6.672,3.457
6lu7_idAAAWgen5,-6.4,17.704,11.481
6lu7_idAAAWgen5,-6.4,29.755,27.874
6lu7_idAAAWgen5,-6.5,24.956,23.469
6lu7_idAAAWgen5,-6.5,18.166,13.361
6lu7_idAAAWgen5,-6.6,7.36,1.304
6lu7_idAAAWgen5,-6.8,31.264,25.584
6lu7_idAAAWgen5,-7.0,34.046,31.275
6lu7_idAAAWgen5,-7.2,0.0,0.0
6lu7_idAAAVgen5,-10.4,12.902,3.244
6lu7_idAAAVgen5,-10.4,53.411,50.406
6lu7_idAAAVgen5,-10.5,21.906,16.185
6lu7_idAAAVgen5,-10.5,11.119,3.748
6lu7_idAAAVgen5,-11.1,24.833,21.82
6lu7_idAAAVgen5,-11.2,23.108,18.399
6lu7_idAAAVgen5,-11.2,40.529,36.482
6lu7_idAAAVgen5,-11.4,53.507,50.357
6lu7_idAAAVgen5,-12.0,0.0,0.0
6lu7_idAAAUgen5,-10.4,27.888,25.016
6lu7_idAAAUgen5,-10.5,41.011,36.319
6lu7_idAAAUgen5,-10.6,10.482,5.342
6lu7_idAAAUgen5,-10.6,9.066,5.094
6lu7_idAAAUgen5,-10.8,40.344,35.312
6lu7_idAAAUgen5,-10.8,16.153,14.321
6lu7_idAAAUgen5,-11.3,6.326,4.037
6lu7_idAAAUgen5,-11.3,9.078,2.85
6lu7_idAAAUgen5,-11.5,0.0,0.0
6lu7_idAAATgen5,-14.1,35.79,29.401
6lu7_idAAATgen5,-14.2,23.338,20.187
6lu7_idAAATgen5,-14.4,15.301,10.111
6lu7_idAAATgen5,-14.5,10.867,5.221
6lu7_idAAATgen5,-14.9,3.268,1.449
6lu7_idAAATgen5,-15.0,36.267,29.479
6lu7_idAAATgen5,-15.1,8.103,0.888
6lu7_idAAATgen5,-15.4,10.445,1.745
6lu7_idAAATgen5,-15.9,0.0,0.0
6lu7_idAAASgen5,-12.7,14.377,9.635
6lu7_idAAASgen5,-12.8,16.313,4.691
6lu7_idAAASgen5,-12.8,15.722,4.636
6lu7_idAAASgen5,-12.9,14.741,9.636
6lu7_idAAASgen5,-13.1,9.088,5.426
6lu7_idAAASgen5,-13.2,15.759,3.854
6lu7_idAAASgen5,-13.9,15.796,4.185
6lu7_idAAASgen5,-14.0,2.096,1.453
6lu7_idAAASgen5,-14.4,0.0,0.0
6lu7_idAAARgen5,-10.8,18.725,13.626
6lu7_idAAARgen5,-11.1,30.639,25.216
6lu7_idAAARgen5,-11.3,6.355,2.944
6lu7_idAAARgen5,-11.3,12.556,5.153
6lu7_idAAARgen5,-11.5,21.14,14.433
6lu7_idAAARgen5,-11.5,20.185,7.125
6lu7_idAAARgen5,-11.6,12.171,8.134
6lu7_idAAARgen5,-12.5,7.503,3.377
6lu7_idAAARgen5,-13.6,0.0,0.0
6lu7_idAAAQgen5,-5.1,8.331,4.422
6lu7_idAAAQgen5,-5.2,6.555,3.967
6lu7_idAAAQgen5,-5.3,26.293,22.875
6lu7_idAAAQgen5,-5.3,26.899,23.389
6lu7_idAAAQgen5,-5.4,5.477,2.662
6lu7_idAAAQgen5,-5.5,3.888,2.804
6lu7_idAAAQgen5,-5.7,5.456,3.412
6lu7_idAAAQgen5,-5.7,4.078,2.083
6lu7_idAAAQgen5,-5.8,0.0,0.0
6lu7_idAAAPgen5,-12.4,25.113,17.445
6lu7_idAAAPgen5,-12.4,37.03,32.971
6lu7_idAAAPgen5,-13.0,31.191,27.346
6lu7_idAAAPgen5,-13.0,25.3,23.337
6lu7_idAAAPgen5,-13.7,20.218,12.254
6lu7_idAAAPgen5,-13.7,30.913,25.171
6lu7_idAAAPgen5,-14.0,19.194,12.653
6lu7_idAAAPgen5,-14.1,19.44,13.696
6lu7_idAAAPgen5,-14.3,0.0,0.0
6lu7_idAAAOgen5,-12.9,8.061,1.638
6lu7_idAAAOgen5,-13.3,6.828,1.805
6lu7_idAAAOgen5,-13.6,18.428,11.832
6lu7_idAAAOgen5,-15.6,0.0,0.0
6lu7_idAAAMgen5,-11.4,26.435,20.943
6lu7_idAAAMgen5,-11.5,12.778,7.486
6lu7_idAAAMgen5,-11.6,21.273,15.118
6lu7_idAAAMgen5,-11.7,25.079,22.007
6lu7_idAAAMgen5,-11.7,18.149,10.338
6lu7_idAAAMgen5,-11.7,25.309,22.03
6lu7_idAAAMgen5,-11.9,9.74,6.719
6lu7_idAAAMgen5,-12.0,18.867,10.895
6lu7_idAAAMgen5,-12.3,0.0,0.0
6lu7_idAAALgen5,-11.1,16.136,4.837
6lu7_idAAALgen5,-11.3,7.458,3.835
6lu7_idAAALgen5,-11.3,10.663,4.511
6lu7_idAAALgen5,-11.5,2.654,1.722
6lu7_idAAALgen5,-11.5,24.553,22.179
6lu7_idAAALgen5,-12.0,6.541,2.338
6lu7_idAAALgen5,-12.1,3.475,1.498
6lu7_idAAALgen5,-12.3,2.475,1.788
6lu7_idAAALgen5,-13.0,0.0,0.0
6lu7_idAAAKgen5,-9.8,10.873,6.464
6lu7_idAAAKgen5,-9.8,31.441,26.417
6lu7_idAAAKgen5,-9.8,12.946,4.817
6lu7_idAAAKgen5,-9.9,24.889,19.005
6lu7_idAAAKgen5,-10.0,12.275,4.432
6lu7_idAAAKgen5,-10.1,11.116,5.173
6lu7_idAAAKgen5,-10.1,6.785,2.389
6lu7_idAAAKgen5,-10.4,9.114,3.858
6lu7_idAAAKgen5,-11.3,0.0,0.0
6lu7_idAAAJgen5,-4.9,13.195,10.621
6lu7_idAAAJgen5,-4.9,26.519,24.51
6lu7_idAAAJgen5,-5.0,12.173,9.7
6lu7_idAAAJgen5,-5.1,27.497,25.582
6lu7_idAAAJgen5,-5.1,5.095,2.887
6lu7_idAAAJgen5,-5.4,6.399,2.821
6lu7_idAAAJgen5,-5.4,33.711,31.116
6lu7_idAAAJgen5,-5.5,33.791,31.102
6lu7_idAAAJgen5,-5.7,0.0,0.0
6lu7_idAAAIgen5,-9.8,44.514,40.008
6lu7_idAAAIgen5,-9.8,32.833,26.158
6lu7_idAAAIgen5,-9.8,32.523,26.775
6lu7_idAAAIgen5,-10.0,56.903,53.434
6lu7_idAAAIgen5,-10.0,50.371,47.357
6lu7_idAAAIgen5,-10.1,47.386,42.18
6lu7_idAAAIgen5,-10.3,32.383,26.57
6lu7_idAAAIgen5,-10.4,26.829,22.755
6lu7_idAAAIgen5,-10.9,0.0,0.0
6lu7_idAAAHgen5,-9.8,26.541,24.263
6lu7_idAAAHgen5,-9.9,12.083,5.046
6lu7_idAAAHgen5,-9.9,3.65,1.997
6lu7_idAAAHgen5,-10.2,10.661,2.694
6lu7_idAAAHgen5,-10.3,2.62,1.489
6lu7_idAAAHgen5,-10.5,40.085,35.67
6lu7_idAAAHgen5,-10.7,8.963,2.463
6lu7_idAAAHgen5,-11.0,2.886,1.517
6lu7_idAAAHgen5,-11.1,0.0,0.0
6lu7_idAAAGgen5,-9.8,11.228,2.571
6lu7_idAAAGgen5,-9.9,8.096,4.811
6lu7_idAAAGgen5,-10.0,7.005,2.976
6lu7_idAAAGgen5,-10.2,9.653,4.437
6lu7_idAAAGgen5,-10.2,10.109,3.525
6lu7_idAAAGgen5,-10.4,7.804,3.818
6lu7_idAAAGgen5,-10.7,3.037,2.076
6lu7_idAAAGgen5,-10.8,2.016,1.121
6lu7_idAAAGgen5,-11.4,0.0,0.0
6lu7_idAAAFgen5,-11.5,12.246,5.073
6lu7_idAAAFgen5,-11.5,11.475,3.019
6lu7_idAAAFgen5,-11.5,25.811,22.395
6lu7_idAAAFgen5,-11.6,6.631,2.026
6lu7_idAAAFgen5,-11.8,30.187,22.456
6lu7_idAAAFgen5,-12.0,9.91,4.42
6lu7_idAAAFgen5,-12.3,7.042,2.268
6lu7_idAAAFgen5,-12.3,39.911,35.721
6lu7_idAAAFgen5,-12.5,0.0,0.0
6lu7_idAAAEgen5,-9.3,40.787,35.985
6lu7_idAAAEgen5,-9.4,35.275,31.171
6lu7_idAAAEgen5,-9.5,29.858,29.311
6lu7_idAAAEgen5,-9.5,30.368,29.43
6lu7_idAAAEgen5,-9.9,41.925,37.09
6lu7_idAAAEgen5,-10.0,7.309,2.426
6lu7_idAAAEgen5,-10.1,42.677,37.463
6lu7_idAAAEgen5,-10.4,5.658,3.196
6lu7_idAAAEgen5,-12.0,0.0,0.0
6lu7_idAAADgen5,-10.1,42.414,37.572
6lu7_idAAADgen5,-10.4,8.61,2.571
6lu7_idAAADgen5,-10.5,2.355,1.797
6lu7_idAAADgen5,-10.6,10.054,4.112
6lu7_idAAADgen5,-10.8,5.706,3.428
6lu7_idAAADgen5,-10.9,42.204,37.208
6lu7_idAAADgen5,-11.5,7.401,2.605
6lu7_idAAADgen5,-13.0,0.0,0.0
6lu7_idAAACgen5,-8.1,2.835,1.912
6lu7_idAAACgen5,-8.1,20.833,15.993
6lu7_idAAACgen5,-8.3,3.096,2.262
6lu7_idAAACgen5,-8.3,7.714,2.829
6lu7_idAAACgen5,-8.4,42.255,40.841
6lu7_idAAACgen5,-8.8,2.534,1.728
6lu7_idAAACgen5,-8.9,0.0,0.0
6lu7_idAAACgen5,-8.9,6.295,3.466
6lu7_idAAACgen5,-8.9,27.894,24.563
