Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAADKgen5,-11.4,23.883,17.125
6lu7_idAADKgen5,-11.7,42.488,36.89
6lu7_idAADKgen5,-11.8,36.578,30.199
6lu7_idAADKgen5,-11.9,10.912,1.982
6lu7_idAADKgen5,-11.9,8.748,2.259
6lu7_idAADKgen5,-12.1,7.862,1.249
6lu7_idAADKgen5,-12.5,8.926,1.917
6lu7_idAADKgen5,-12.9,10.156,3.867
6lu7_idAADKgen5,-13.9,0.0,0.0
6lu7_idAADJgen5,-9.8,13.356,9.088
6lu7_idAADJgen5,-9.9,17.842,16.055
6lu7_idAADJgen5,-10.0,29.841,25.833
6lu7_idAADJgen5,-10.1,34.167,25.32
6lu7_idAADJgen5,-10.2,11.955,4.61
6lu7_idAADJgen5,-10.7,18.116,11.995
6lu7_idAADJgen5,-10.7,38.853,33.652
6lu7_idAADJgen5,-11.0,2.069,1.52
6lu7_idAADJgen5,-11.8,0.0,0.0
6lu7_idAADIgen5,-9.0,7.657,2.559
6lu7_idAADIgen5,-9.0,6.126,3.157
6lu7_idAADIgen5,-9.2,3.36,1.333
6lu7_idAADIgen5,-9.2,34.837,30.65
6lu7_idAADIgen5,-9.2,24.766,19.899
6lu7_idAADIgen5,-9.3,28.565,25.507
6lu7_idAADIgen5,-9.3,3.134,1.97
6lu7_idAADIgen5,-9.5,6.975,2.602
6lu7_idAADIgen5,-9.6,0.0,0.0
6lu7_idAADHgen5,-9.8,6.482,1.321
6lu7_idAADHgen5,-10.2,5.014,2.69
6lu7_idAADHgen5,-10.2,3.0,2.191
6lu7_idAADHgen5,-10.5,31.103,3.224
6lu7_idAADHgen5,-10.5,30.927,2.253
6lu7_idAADHgen5,-10.5,2.014,0.786
6lu7_idAADHgen5,-10.6,2.462,1.257
6lu7_idAADHgen5,-10.6,4.436,2.324
6lu7_idAADHgen5,-10.7,0.0,0.0
6lu7_idAADGgen5,-10.6,10.267,5.719
6lu7_idAADGgen5,-10.7,7.184,2.977
6lu7_idAADGgen5,-10.8,43.818,38.841
6lu7_idAADGgen5,-11.1,6.595,2.438
6lu7_idAADGgen5,-11.2,37.843,32.178
6lu7_idAADGgen5,-11.3,7.564,2.88
6lu7_idAADGgen5,-11.5,6.62,2.9
6lu7_idAADGgen5,-11.9,2.783,1.949
6lu7_idAADGgen5,-12.5,0.0,0.0
6lu7_idAADFgen5,-7.4,2.106,1.69
6lu7_idAADFgen5,-7.5,17.801,15.472
6lu7_idAADFgen5,-7.5,39.664,38.147
6lu7_idAADFgen5,-7.5,3.406,2.342
6lu7_idAADFgen5,-7.5,24.025,21.259
6lu7_idAADFgen5,-7.7,3.155,1.45
6lu7_idAADFgen5,-7.8,2.477,1.332
6lu7_idAADFgen5,-8.3,40.146,37.733
6lu7_idAADFgen5,-8.5,0.0,0.0
6lu7_idAADEgen5,-9.4,11.859,1.795
6lu7_idAADEgen5,-9.5,47.977,43.132
6lu7_idAADEgen5,-9.7,27.106,24.006
6lu7_idAADEgen5,-9.9,25.97,20.974
6lu7_idAADEgen5,-10.0,27.504,24.665
6lu7_idAADEgen5,-10.2,49.26,44.169
6lu7_idAADEgen5,-10.3,7.543,1.484
6lu7_idAADEgen5,-10.5,34.512,32.994
6lu7_idAADEgen5,-10.6,0.0,0.0
6lu7_idAADDgen5,-10.7,26.729,21.807
6lu7_idAADDgen5,-10.8,44.83,38.313
