Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAAAPgen7,-8.9,6.82,2.872
6lu7_idAAAPgen7,-8.9,29.444,25.258
6lu7_idAAAPgen7,-9.3,7.09,3.22
6lu7_idAAAPgen7,-9.4,16.016,5.622
6lu7_idAAAPgen7,-9.8,9.196,4.298
6lu7_idAAAPgen7,-10.0,6.404,2.288
6lu7_idAAAPgen7,-10.2,5.931,2.508
6lu7_idAAAPgen7,-10.4,2.08,1.26
6lu7_idAAAPgen7,-10.5,0.0,0.0
6lu7_idAAAOgen7,-6.2,18.771,15.629
6lu7_idAAAOgen7,-6.2,29.46,26.359
6lu7_idAAAOgen7,-6.2,15.286,13.856
6lu7_idAAAOgen7,-6.3,18.28,15.562
6lu7_idAAAOgen7,-6.3,15.465,14.016
6lu7_idAAAOgen7,-6.4,17.797,15.287
6lu7_idAAAOgen7,-6.5,24.558,21.958
6lu7_idAAAOgen7,-6.5,18.592,15.429
6lu7_idAAAOgen7,-6.7,0.0,0.0
6lu7_idAAANgen7,-5.2,8.595,4.446
6lu7_idAAANgen7,-5.3,6.874,2.334
6lu7_idAAANgen7,-5.3,25.569,23.324
6lu7_idAAANgen7,-5.3,35.53,33.592
6lu7_idAAANgen7,-5.3,27.12,24.484
6lu7_idAAANgen7,-5.4,23.588,21.273
6lu7_idAAANgen7,-5.5,22.906,20.418
6lu7_idAAANgen7,-5.6,7.353,2.434
6lu7_idAAANgen7,-5.6,0.0,0.0
6lu7_idAAAMgen7,-11.6,3.67,2.914
6lu7_idAAAMgen7,-11.6,15.624,8.61
6lu7_idAAAMgen7,-11.6,7.896,4.185
6lu7_idAAAMgen7,-11.6,24.751,20.875
6lu7_idAAAMgen7,-11.8,7.534,3.962
6lu7_idAAAMgen7,-11.9,16.747,5.425
6lu7_idAAAMgen7,-11.9,14.934,7.446
6lu7_idAAAMgen7,-12.2,10.122,6.301
6lu7_idAAAMgen7,-12.7,0.0,0.0
6lu7_idAAALgen7,-8.4,7.297,5.155
6lu7_idAAALgen7,-8.5,12.793,9.718
6lu7_idAAALgen7,-8.8,8.712,6.833
6lu7_idAAALgen7,-8.8,29.742,25.846
6lu7_idAAALgen7,-8.9,3.629,1.167
6lu7_idAAALgen7,-8.9,7.755,1.113
6lu7_idAAALgen7,-9.3,27.077,23.344
6lu7_idAAALgen7,-9.9,7.087,0.721
6lu7_idAAALgen7,-10.3,0.0,0.0
6lu7_idAAAKgen7,-12.0,11.104,3.684
6lu7_idAAAKgen7,-12.0,11.094,5.143
6lu7_idAAAKgen7,-12.3,42.086,37.264
6lu7_idAAAKgen7,-12.5,23.428,18.177
6lu7_idAAAKgen7,-13.2,10.885,3.572
6lu7_idAAAKgen7,-13.3,9.303,1.754
6lu7_idAAAKgen7,-13.4,9.526,1.805
6lu7_idAAAKgen7,-13.4,7.209,2.149
