Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAACOgen8,-5.9,0.0,0.0
6lu7_idAACOgen8,-5.8,27.204,25.379
6lu7_idAACOgen8,-5.7,24.26,21.021
6lu7_idAACOgen8,-5.6,24.436,21.145
6lu7_idAACOgen8,-5.4,28.615,27.168
6lu7_idAACOgen8,-5.4,27.95,26.301
6lu7_idAACOgen8,-5.3,32.014,29.606
6lu7_idAACOgen8,-5.3,21.202,19.561
6lu7_idAACOgen8,-5.3,7.166,1.81
6lu7_idAACNgen8,-17.0,0.0,0.0
6lu7_idAACNgen8,-16.1,5.817,2.668
6lu7_idAACNgen8,-15.0,3.295,2.072
6lu7_idAACNgen8,-14.8,21.444,17.265
6lu7_idAACNgen8,-14.6,7.02,3.226
6lu7_idAACNgen8,-14.4,15.88,13.426
6lu7_idAACNgen8,-14.3,5.319,2.027
6lu7_idAACNgen8,-14.3,6.938,4.207
6lu7_idAACNgen8,-14.2,35.256,31.807
6lu7_idAACMgen8,-9.8,0.0,0.0
6lu7_idAACMgen8,-9.4,11.033,6.711
6lu7_idAACMgen8,-9.4,15.946,12.672
6lu7_idAACMgen8,-9.4,12.951,7.897
6lu7_idAACMgen8,-9.3,31.207,29.531
6lu7_idAACMgen8,-9.2,14.853,11.755
6lu7_idAACMgen8,-9.2,31.1,26.725
6lu7_idAACMgen8,-9.0,31.652,27.324
6lu7_idAACMgen8,-9.0,28.661,24.829
6lu7_idAACLgen8,-10.5,0.0,0.0
6lu7_idAACLgen8,-10.5,2.156,1.957
6lu7_idAACLgen8,-10.4,6.868,1.795
6lu7_idAACLgen8,-10.1,8.575,4.582
6lu7_idAACLgen8,-9.8,3.064,2.064
6lu7_idAACLgen8,-9.5,2.948,2.188
6lu7_idAACLgen8,-9.4,7.101,3.27
6lu7_idAACLgen8,-9.3,11.653,5.235
6lu7_idAACLgen8,-9.3,6.962,2.875
6lu7_idAACKgen8,-10.3,0.0,0.0
6lu7_idAACKgen8,-10.3,29.983,24.965
6lu7_idAACKgen8,-9.9,9.809,3.535
6lu7_idAACKgen8,-9.9,19.526,15.938
6lu7_idAACKgen8,-9.9,15.129,5.601
6lu7_idAACKgen8,-9.7,15.163,4.985
6lu7_idAACKgen8,-9.6,12.521,4.101
6lu7_idAACKgen8,-9.5,26.993,20.905
6lu7_idAACKgen8,-9.4,41.287,36.773
6lu7_idAACJgen8,-5.8,0.0,0.0
6lu7_idAACJgen8,-5.6,3.276,2.162
6lu7_idAACJgen8,-5.6,39.049,34.906
6lu7_idAACJgen8,-5.5,3.119,2.216
6lu7_idAACJgen8,-5.5,2.19,1.569
6lu7_idAACJgen8,-5.5,2.938,2.162
