Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAACEgen9,-11.4,6.031,3.752
6lu7_idAACEgen9,-11.5,6.558,5.495
6lu7_idAACEgen9,-11.5,11.433,7.595
6lu7_idAACEgen9,-11.6,7.585,5.586
6lu7_idAACEgen9,-11.7,3.681,1.677
6lu7_idAACEgen9,-11.8,2.848,1.948
6lu7_idAACEgen9,-11.9,6.238,3.394
6lu7_idAACEgen9,-12.0,2.784,2.329
6lu7_idAACEgen9,-12.3,0.0,0.0
6lu7_idAACDgen9,-11.3,9.998,4.584
6lu7_idAACDgen9,-11.4,5.459,2.403
6lu7_idAACDgen9,-11.7,40.947,36.541
6lu7_idAACDgen9,-11.8,30.571,29.589
6lu7_idAACDgen9,-11.8,8.087,3.285
6lu7_idAACDgen9,-11.9,7.491,1.624
6lu7_idAACDgen9,-12.0,10.537,4.88
6lu7_idAACDgen9,-12.1,40.402,36.426
6lu7_idAACDgen9,-12.8,0.0,0.0
6lu7_idAACCgen9,-12.8,24.674,21.312
6lu7_idAACCgen9,-12.9,26.874,23.974
6lu7_idAACCgen9,-13.0,17.972,16.902
6lu7_idAACCgen9,-13.0,17.003,15.682
6lu7_idAACCgen9,-13.1,29.23,25.929
6lu7_idAACCgen9,-13.3,17.784,16.043
6lu7_idAACCgen9,-13.4,24.214,20.612
6lu7_idAACCgen9,-13.4,18.522,17.429
6lu7_idAACCgen9,-14.5,0.0,0.0
6lu7_idAACBgen9,-10.5,10.591,5.75
6lu7_idAACBgen9,-10.5,13.057,1.86
6lu7_idAACBgen9,-10.6,4.488,2.041
6lu7_idAACBgen9,-10.6,25.526,19.094
6lu7_idAACBgen9,-10.7,22.971,18.542
6lu7_idAACBgen9,-10.8,15.912,4.92
6lu7_idAACBgen9,-11.0,23.45,19.434
6lu7_idAACBgen9,-11.3,10.616,5.291
6lu7_idAACBgen9,-11.3,0.0,0.0
6lu7_idAACAgen9,-11.6,38.785,33.77
6lu7_idAACAgen9,-11.7,14.988,9.371
6lu7_idAACAgen9,-11.9,8.271,2.765
6lu7_idAACAgen9,-12.2,20.964,15.406
6lu7_idAACAgen9,-12.3,38.741,34.814
6lu7_idAACAgen9,-12.5,7.665,2.352
6lu7_idAACAgen9,-12.8,7.292,2.143
6lu7_idAACAgen9,-13.3,7.505,1.787
6lu7_idAACAgen9,-14.4,0.0,0.0
6lu7_idAABZgen9,-10.5,21.37,16.211
6lu7_idAABZgen9,-10.6,40.383,34.977
6lu7_idAABZgen9,-10.7,16.66,7.57
6lu7_idAABZgen9,-10.7,33.283,27.72
6lu7_idAABZgen9,-10.9,23.972,19.221
6lu7_idAABZgen9,-10.9,42.47,35.322
6lu7_idAABZgen9,-11.6,8.357,5.313
6lu7_idAABZgen9,-12.6,6.164,4.747
6lu7_idAABZgen9,-12.8,0.0,0.0
6lu7_idAABYgen9,-9.9,21.393,20.143
6lu7_idAABYgen9,-9.9,22.05,20.993
6lu7_idAABYgen9,-10.0,17.647,9.634
6lu7_idAABYgen9,-10.0,23.525,19.181
6lu7_idAABYgen9,-10.1,24.261,19.271
6lu7_idAABYgen9,-10.2,24.046,19.092
6lu7_idAABYgen9,-10.2,24.397,18.541
6lu7_idAABYgen9,-10.5,22.93,19.339
6lu7_idAABYgen9,-10.9,0.0,0.0
6lu7_idAABXgen9,-14.4,34.921,31.481
6lu7_idAABXgen9,-14.4,28.846,24.594
6lu7_idAABXgen9,-15.0,7.538,1.59
6lu7_idAABXgen9,-15.0,15.698,13.485
6lu7_idAABXgen9,-15.1,21.178,17.392
6lu7_idAABXgen9,-15.4,1.719,1.094
6lu7_idAABXgen9,-17.2,0.0,0.0
6lu7_idAABWgen9,-8.5,40.738,34.885
6lu7_idAABWgen9,-8.5,8.916,5.023
6lu7_idAABWgen9,-8.5,12.477,3.089
6lu7_idAABWgen9,-8.5,31.775,27.164
6lu7_idAABWgen9,-8.7,23.252,19.717
6lu7_idAABWgen9,-9.0,18.056,15.463
6lu7_idAABWgen9,-9.6,5.124,2.653
6lu7_idAABWgen9,-9.7,12.773,2.622
6lu7_idAABWgen9,-10.1,0.0,0.0
6lu7_idAABVgen9,-10.8,9.292,4.363
6lu7_idAABVgen9,-10.8,23.325,18.923
6lu7_idAABVgen9,-11.0,36.939,32.597
6lu7_idAABVgen9,-11.1,36.786,32.579
6lu7_idAABVgen9,-11.1,9.122,2.694
6lu7_idAABVgen9,-11.2,2.165,1.659
6lu7_idAABVgen9,-11.5,3.045,2.122
6lu7_idAABVgen9,-11.6,2.246,1.717
6lu7_idAABVgen9,-11.8,0.0,0.0
6lu7_idAABUgen9,-8.8,19.546,13.357
6lu7_idAABUgen9,-8.9,13.04,8.033
6lu7_idAABUgen9,-9.0,18.613,9.679
6lu7_idAABUgen9,-9.1,34.279,30.006
6lu7_idAABUgen9,-9.2,11.781,3.866
6lu7_idAABUgen9,-9.3,3.193,1.201
6lu7_idAABUgen9,-9.6,15.261,8.037
6lu7_idAABUgen9,-9.7,15.902,9.266
6lu7_idAABUgen9,-9.8,0.0,0.0
6lu7_idAABTgen9,-10.7,24.382,20.462
6lu7_idAABTgen9,-10.7,7.308,3.013
6lu7_idAABTgen9,-10.7,7.214,2.91
6lu7_idAABTgen9,-10.9,14.64,9.786
6lu7_idAABTgen9,-11.3,23.74,19.636
6lu7_idAABTgen9,-11.6,7.829,2.0
6lu7_idAABTgen9,-11.9,4.618,3.064
6lu7_idAABTgen9,-13.0,7.23,3.176
6lu7_idAABTgen9,-13.0,0.0,0.0
6lu7_idAABSgen9,-11.4,5.95,3.104
6lu7_idAABSgen9,-11.5,25.729,22.295
6lu7_idAABSgen9,-11.6,9.453,3.197
6lu7_idAABSgen9,-11.6,5.224,1.766
6lu7_idAABSgen9,-12.0,7.387,4.324
6lu7_idAABSgen9,-12.1,11.349,5.958
6lu7_idAABSgen9,-12.1,5.998,2.089
6lu7_idAABSgen9,-12.3,3.313,2.31
6lu7_idAABSgen9,-12.3,0.0,0.0
6lu7_idAABRgen9,-12.9,14.056,12.968
6lu7_idAABRgen9,-13.0,8.422,4.121
6lu7_idAABRgen9,-13.0,24.8,21.028
6lu7_idAABRgen9,-13.2,8.656,1.726
6lu7_idAABRgen9,-13.4,4.711,2.825
6lu7_idAABRgen9,-13.6,15.944,13.827
6lu7_idAABRgen9,-13.6,4.914,1.353
6lu7_idAABRgen9,-14.8,8.214,1.782
6lu7_idAABRgen9,-15.0,0.0,0.0
6lu7_idAABQgen9,-11.7,32.047,28.283
6lu7_idAABQgen9,-11.8,23.489,21.193
6lu7_idAABQgen9,-11.8,5.408,2.438
6lu7_idAABQgen9,-11.9,6.429,2.362
6lu7_idAABQgen9,-12.0,22.146,19.546
6lu7_idAABQgen9,-12.1,7.296,1.782
6lu7_idAABQgen9,-12.3,8.571,3.545
6lu7_idAABQgen9,-12.3,7.211,2.669
6lu7_idAABQgen9,-12.5,0.0,0.0
6lu7_idAABPgen9,-11.4,16.228,5.972
6lu7_idAABPgen9,-11.5,19.273,17.295
6lu7_idAABPgen9,-11.6,23.366,17.117
6lu7_idAABPgen9,-11.7,8.131,5.449
6lu7_idAABPgen9,-11.7,2.352,2.016
6lu7_idAABPgen9,-11.8,11.344,7.567
6lu7_idAABPgen9,-12.0,20.154,17.709
6lu7_idAABPgen9,-12.1,2.402,1.786
6lu7_idAABPgen9,-12.7,0.0,0.0
6lu7_idAABOgen9,-14.6,6.678,3.749
6lu7_idAABOgen9,-14.7,6.968,2.707
6lu7_idAABOgen9,-14.9,36.531,33.189
6lu7_idAABOgen9,-15.1,14.387,8.347
6lu7_idAABOgen9,-15.3,24.377,20.528
6lu7_idAABOgen9,-16.2,7.219,2.896
6lu7_idAABOgen9,-16.2,3.885,2.358
6lu7_idAABOgen9,-17.6,0.0,0.0
6lu7_idAABNgen9,-12.2,14.637,11.962
6lu7_idAABNgen9,-12.3,6.693,3.154
6lu7_idAABNgen9,-12.3,9.065,4.116
6lu7_idAABNgen9,-12.7,2.687,1.67
6lu7_idAABNgen9,-12.8,10.939,2.502
6lu7_idAABNgen9,-13.0,7.052,3.377
6lu7_idAABNgen9,-13.1,7.922,2.583
6lu7_idAABNgen9,-13.4,5.509,3.297
6lu7_idAABNgen9,-14.3,0.0,0.0
6lu7_idAABLgen9,-13.1,7.603,2.216
6lu7_idAABLgen9,-13.1,11.857,6.559
6lu7_idAABLgen9,-13.3,9.323,2.704
6lu7_idAABLgen9,-13.4,14.581,9.12
6lu7_idAABLgen9,-13.6,16.318,12.772
6lu7_idAABLgen9,-14.4,9.621,1.841
6lu7_idAABLgen9,-14.4,5.829,1.991
6lu7_idAABLgen9,-14.4,7.896,1.427
6lu7_idAABLgen9,-15.5,0.0,0.0
6lu7_idAABKgen9,-11.3,16.017,5.946
6lu7_idAABKgen9,-11.5,25.231,20.097
6lu7_idAABKgen9,-11.5,3.913,2.589
6lu7_idAABKgen9,-11.9,2.22,1.543
6lu7_idAABKgen9,-11.9,4.987,3.616
6lu7_idAABKgen9,-12.1,2.338,1.916
6lu7_idAABKgen9,-12.4,3.436,1.618
6lu7_idAABKgen9,-12.7,3.061,2.073
6lu7_idAABKgen9,-13.0,0.0,0.0
6lu7_idAABIgen9,-11.7,24.244,20.821
6lu7_idAABIgen9,-11.7,41.235,35.716
6lu7_idAABIgen9,-12.1,14.433,11.96
6lu7_idAABIgen9,-12.1,12.475,9.104
6lu7_idAABIgen9,-12.4,8.045,3.455
6lu7_idAABIgen9,-12.4,14.741,11.973
6lu7_idAABIgen9,-13.2,6.961,3.26
6lu7_idAABIgen9,-13.3,5.173,3.199
6lu7_idAABIgen9,-14.0,0.0,0.0
6lu7_idAABHgen9,-12.6,21.169,16.25
6lu7_idAABHgen9,-12.8,17.511,15.921
6lu7_idAABHgen9,-12.9,18.936,16.952
6lu7_idAABHgen9,-13.0,17.634,16.097
6lu7_idAABHgen9,-13.1,41.502,36.668
6lu7_idAABHgen9,-13.2,19.126,16.816
6lu7_idAABHgen9,-13.4,7.463,1.268
6lu7_idAABHgen9,-13.8,7.305,0.972
6lu7_idAABHgen9,-14.5,0.0,0.0
6lu7_idAABGgen9,-12.2,31.705,28.285
6lu7_idAABGgen9,-12.2,14.724,9.929
6lu7_idAABGgen9,-12.3,6.863,2.552
6lu7_idAABGgen9,-12.4,23.809,19.748
6lu7_idAABGgen9,-12.5,5.999,3.785
6lu7_idAABGgen9,-12.5,7.585,2.442
6lu7_idAABGgen9,-13.5,4.431,2.888
6lu7_idAABGgen9,-14.3,6.903,2.961
6lu7_idAABGgen9,-14.8,0.0,0.0
6lu7_idAABFgen9,-13.2,26.475,22.627
6lu7_idAABFgen9,-13.2,40.324,36.118
6lu7_idAABFgen9,-13.3,6.767,3.433
6lu7_idAABFgen9,-13.5,18.565,16.859
6lu7_idAABFgen9,-13.6,18.306,16.107
6lu7_idAABFgen9,-13.7,8.662,2.76
6lu7_idAABFgen9,-14.1,5.637,2.465
6lu7_idAABFgen9,-14.3,14.527,13.17
6lu7_idAABFgen9,-15.1,0.0,0.0
6lu7_idAABEgen9,-11.3,8.035,4.833
6lu7_idAABEgen9,-11.7,8.972,3.827
6lu7_idAABEgen9,-11.8,6.492,2.6
6lu7_idAABEgen9,-11.9,5.517,3.294
6lu7_idAABEgen9,-11.9,25.294,21.125
6lu7_idAABEgen9,-12.1,7.591,2.393
6lu7_idAABEgen9,-12.3,7.044,1.522
6lu7_idAABEgen9,-12.6,7.615,2.307
6lu7_idAABEgen9,-13.4,0.0,0.0
6lu7_idAABDgen9,-11.8,18.523,12.395
6lu7_idAABDgen9,-11.9,25.494,20.008
6lu7_idAABDgen9,-12.0,14.78,9.966
6lu7_idAABDgen9,-12.0,14.622,8.973
6lu7_idAABDgen9,-12.2,7.716,1.839
6lu7_idAABDgen9,-12.2,15.253,9.575
6lu7_idAABDgen9,-13.3,4.326,2.794
6lu7_idAABDgen9,-13.9,7.025,2.998
6lu7_idAABDgen9,-14.1,0.0,0.0
6lu7_idAABCgen9,-10.3,11.62,5.606
6lu7_idAABCgen9,-10.3,13.719,3.333
6lu7_idAABCgen9,-10.4,11.52,5.561
6lu7_idAABCgen9,-10.6,13.296,5.239
6lu7_idAABCgen9,-10.6,24.709,21.7
6lu7_idAABCgen9,-10.8,10.957,6.118
6lu7_idAABCgen9,-10.9,13.718,4.241
6lu7_idAABCgen9,-11.0,0.0,0.0
6lu7_idAABCgen9,-11.0,20.372,18.131
6lu7_idAABBgen9,-12.4,30.254,24.631
6lu7_idAABBgen9,-12.4,7.726,4.409
6lu7_idAABBgen9,-12.4,6.418,4.216
6lu7_idAABBgen9,-12.6,33.694,28.856
6lu7_idAABBgen9,-12.7,25.966,22.951
6lu7_idAABBgen9,-12.8,3.165,1.461
6lu7_idAABBgen9,-12.8,18.284,15.972
6lu7_idAABBgen9,-13.2,26.989,23.797
6lu7_idAABBgen9,-13.3,0.0,0.0
6lu7_idAAAZgen9,-11.3,21.224,14.341
6lu7_idAAAZgen9,-11.3,6.86,2.243
6lu7_idAAAZgen9,-11.6,16.415,11.119
6lu7_idAAAZgen9,-11.6,11.672,2.15
6lu7_idAAAZgen9,-11.8,3.32,1.995
6lu7_idAAAZgen9,-11.8,9.185,3.264
6lu7_idAAAZgen9,-11.9,8.676,2.703
6lu7_idAAAZgen9,-12.0,36.442,30.496
6lu7_idAAAZgen9,-12.0,0.0,0.0
6lu7_idAAAYgen9,-9.4,26.856,22.606
6lu7_idAAAYgen9,-9.5,12.356,9.614
6lu7_idAAAYgen9,-9.6,9.537,4.899
6lu7_idAAAYgen9,-9.7,11.337,3.998
6lu7_idAAAYgen9,-9.7,14.968,7.778
6lu7_idAAAYgen9,-9.8,35.249,29.864
6lu7_idAAAYgen9,-9.8,24.583,18.33
6lu7_idAAAYgen9,-9.9,12.613,2.618
6lu7_idAAAYgen9,-11.5,0.0,0.0
6lu7_idAAAXgen9,-13.5,9.682,3.868
6lu7_idAAAXgen9,-14.1,7.156,2.286
6lu7_idAAAXgen9,-14.3,19.978,17.174
6lu7_idAAAXgen9,-16.5,0.0,0.0
6lu7_idAAAVgen9,-10.9,37.567,35.144
6lu7_idAAAVgen9,-11.0,3.376,1.938
6lu7_idAAAVgen9,-11.3,2.421,1.522
6lu7_idAAAVgen9,-11.5,19.541,18.59
6lu7_idAAAVgen9,-11.5,20.495,18.107
6lu7_idAAAVgen9,-11.5,18.69,17.471
6lu7_idAAAVgen9,-11.6,20.671,13.987
6lu7_idAAAVgen9,-11.7,11.701,2.071
6lu7_idAAAVgen9,-12.6,0.0,0.0
6lu7_idAAAUgen9,-12.5,14.545,13.067
6lu7_idAAAUgen9,-12.5,14.929,13.674
6lu7_idAAAUgen9,-12.5,7.462,2.227
6lu7_idAAAUgen9,-12.6,26.367,23.012
6lu7_idAAAUgen9,-12.7,32.897,29.743
6lu7_idAAAUgen9,-13.1,8.22,2.885
6lu7_idAAAUgen9,-13.7,6.743,1.38
6lu7_idAAAUgen9,-14.2,5.105,2.052
6lu7_idAAAUgen9,-14.6,0.0,0.0
6lu7_idAAASgen9,-13.5,42.466,36.998
6lu7_idAAASgen9,-13.5,41.851,37.413
