Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAACHgen10,-12.3,0.0,0.0
6lu7_idAACHgen10,-11.2,8.18,1.483
6lu7_idAACHgen10,-10.6,5.671,2.828
6lu7_idAACHgen10,-10.3,5.683,2.447
6lu7_idAACHgen10,-10.2,15.747,14.575
6lu7_idAACHgen10,-10.2,18.402,16.863
6lu7_idAACHgen10,-10.1,4.3,2.435
6lu7_idAACHgen10,-10.1,14.83,13.927
6lu7_idAACHgen10,-10.0,25.389,22.212
6lu7_idAACGgen10,-10.9,0.0,0.0
6lu7_idAACGgen10,-9.7,8.236,3.638
6lu7_idAACGgen10,-9.4,6.244,3.149
6lu7_idAACGgen10,-9.3,38.154,34.435
6lu7_idAACGgen10,-9.3,2.666,1.601
6lu7_idAACGgen10,-9.0,32.894,28.05
6lu7_idAACGgen10,-8.9,27.517,23.3
6lu7_idAACGgen10,-8.8,30.069,28.809
6lu7_idAACGgen10,-8.7,3.5,2.223
6lu7_idAACEgen10,-9.6,0.0,0.0
6lu7_idAACEgen10,-9.4,22.954,15.884
6lu7_idAACEgen10,-9.4,31.022,26.51
6lu7_idAACEgen10,-9.3,24.774,21.1
6lu7_idAACEgen10,-9.2,35.27,29.814
6lu7_idAACEgen10,-9.1,38.014,31.613
6lu7_idAACEgen10,-9.0,23.04,16.054
6lu7_idAACEgen10,-9.0,26.495,21.347
6lu7_idAACEgen10,-9.0,23.654,18.527
6lu7_idAACDgen10,-12.8,0.0,0.0
6lu7_idAACDgen10,-12.6,6.154,4.749
6lu7_idAACDgen10,-11.4,21.459,15.465
6lu7_idAACDgen10,-10.9,42.476,35.326
6lu7_idAACDgen10,-10.8,23.995,19.243
6lu7_idAACDgen10,-10.7,33.284,27.731
6lu7_idAACDgen10,-10.6,26.431,20.129
6lu7_idAACDgen10,-10.6,40.389,34.982
6lu7_idAACDgen10,-10.5,21.372,16.209
6lu7_idAACCgen10,-17.2,0.0,0.0
6lu7_idAACCgen10,-16.9,5.476,2.293
6lu7_idAACCgen10,-15.1,21.179,17.389
6lu7_idAACCgen10,-15.1,15.653,13.446
6lu7_idAACCgen10,-15.0,7.526,1.559
6lu7_idAACCgen10,-14.4,28.843,24.587
6lu7_idAACCgen10,-14.4,34.921,31.483
6lu7_idAACBgen10,-16.7,0.0,0.0
6lu7_idAACBgen10,-15.5,6.001,2.261
6lu7_idAACBgen10,-15.3,9.488,1.82
6lu7_idAACBgen10,-15.1,7.816,1.41
6lu7_idAACBgen10,-14.3,16.158,12.719
6lu7_idAACBgen10,-14.1,15.57,12.758
6lu7_idAACBgen10,-14.0,9.284,2.635
6lu7_idAACBgen10,-14.0,19.799,13.526
6lu7_idAACBgen10,-13.9,7.4,2.28
6lu7_idAACAgen10,-17.7,0.0,0.0
6lu7_idAACAgen10,-17.5,7.073,2.871
6lu7_idAACAgen10,-16.4,7.376,2.368
6lu7_idAACAgen10,-15.8,16.627,9.744
6lu7_idAACAgen10,-15.5,6.962,2.317
6lu7_idAACAgen10,-15.0,17.37,11.625
6lu7_idAACAgen10,-14.9,24.413,20.733
6lu7_idAABZgen10,-14.3,0.0,0.0
6lu7_idAABZgen10,-14.0,10.378,4.452
6lu7_idAABZgen10,-12.7,3.969,2.564
6lu7_idAABZgen10,-12.7,20.875,15.71
6lu7_idAABZgen10,-12.7,7.275,3.545
6lu7_idAABZgen10,-12.7,27.051,24.559
6lu7_idAABZgen10,-12.7,20.546,15.06
6lu7_idAABZgen10,-12.7,50.683,45.79
6lu7_idAABZgen10,-12.7,29.613,24.703
6lu7_idAABYgen10,-16.3,0.0,0.0
6lu7_idAABYgen10,-15.5,3.536,2.163
6lu7_idAABYgen10,-14.7,6.757,2.798
6lu7_idAABYgen10,-14.4,6.97,3.874
6lu7_idAABYgen10,-14.4,8.117,2.583
6lu7_idAABYgen10,-13.6,7.014,2.64
6lu7_idAABYgen10,-13.6,39.741,35.326
6lu7_idAABYgen10,-13.6,6.839,2.619
6lu7_idAABYgen10,-13.5,11.722,5.969
6lu7_idAABXgen10,-17.0,0.0,0.0
6lu7_idAABXgen10,-16.1,5.608,2.405
6lu7_idAABXgen10,-15.0,15.776,13.246
6lu7_idAABXgen10,-14.8,21.544,17.43
6lu7_idAABXgen10,-14.6,35.214,31.777
6lu7_idAABXgen10,-14.3,6.979,4.211
6lu7_idAABXgen10,-14.3,5.324,2.024
6lu7_idAABWgen10,-13.7,0.0,0.0
6lu7_idAABWgen10,-12.9,4.444,2.785
6lu7_idAABWgen10,-12.7,7.689,1.727
6lu7_idAABWgen10,-12.7,7.143,2.817
6lu7_idAABWgen10,-11.8,23.768,19.579
6lu7_idAABWgen10,-11.8,8.377,2.949
6lu7_idAABWgen10,-11.8,16.227,10.665
6lu7_idAABWgen10,-11.6,22.653,18.432
6lu7_idAABWgen10,-11.6,24.455,20.544
6lu7_idAABUgen10,-14.8,0.0,0.0
6lu7_idAABUgen10,-14.0,7.645,3.252
6lu7_idAABUgen10,-13.8,8.089,2.947
6lu7_idAABUgen10,-13.7,7.658,1.462
6lu7_idAABUgen10,-13.7,8.028,2.61
6lu7_idAABUgen10,-13.6,7.639,2.478
6lu7_idAABUgen10,-13.6,41.623,36.595
6lu7_idAABUgen10,-13.5,41.833,37.394
6lu7_idAABUgen10,-13.5,42.451,37.012
6lu7_idAABTgen10,-13.9,0.0,0.0
6lu7_idAABTgen10,-13.3,4.462,2.863
6lu7_idAABTgen10,-12.3,24.283,20.337
6lu7_idAABTgen10,-12.3,14.474,9.544
