Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6lu7_idAABLgen10,-17.9,0,0
6lu7_idAACAgen10,-17.7,0,0
6lu7_idAABPgen10,-17.6,0,0
6lu7_idAABKgen10,-17.6,0,0
6lu7_idAACAgen10,-17.5,7.073,2.871
6lu7_idAAAJgen10,-17.5,0,0
6lu7_idAAAFgen10,-17.5,7.07,2.924
6lu7_idAAAFgen10,-17.5,0,0
6lu7_idAAANgen10,-17.4,0,0
6lu7_idAABFgen10,-17.3,0,0
6lu7_idAACCgen10,-17.2,0,0
6lu7_idAAAUgen10,-17.2,0,0
6lu7_idAABFgen10,-17.1,6.7,2.808
6lu7_idAABBgen10,-17.1,0,0
6lu7_idAABXgen10,-17,0,0
6lu7_idAABQgen10,-17,0,0
6lu7_idAAANgen10,-17,7.03,2.794
6lu7_idAACCgen10,-16.9,5.471,2.294
6lu7_idAABPgen10,-16.9,1.834,1.128
6lu7_idAABEgen10,-16.9,0,0
6lu7_idAAAQgen10,-16.9,0,0
6lu7_idAABKgen10,-16.8,1.719,1.088
6lu7_idAABBgen10,-16.8,7.094,2.913
6lu7_idAACBgen10,-16.7,0,0
6lu7_idAAAJgen10,-16.6,1.183,0.889
6lu7_idAABGgen10,-16.5,0,0
6lu7_idAAAXgen9,-16.5,0,0
6lu7_idAACAgen10,-16.4,7.376,2.368
6lu7_idAABYgen10,-16.3,0,0
6lu7_idAAAHgen10,-16.3,0,0
6lu7_idAAAFgen10,-16.3,7.366,2.375
6lu7_idAAACgen10,-16.3,0,0
6lu7_idAABKgen10,-16.2,3.877,2.35
6lu7_idAAAUgen10,-16.2,4.323,2.606
6lu7_idAAAUgen10,-16.2,1.56,1.004
6lu7_idAAAUgen10,-16.2,7.347,2.943
6lu7_idAAAJgen10,-16.2,7.283,2.83
6lu7_idAAAGgen10,-16.2,0,0
6lu7_idAABQgen10,-16.1,5.816,2.667
6lu7_idAAANgen10,-16.1,1.925,1.175
6lu7_idAAAJgen10,-16.1,3.959,2.386
6lu7_idAACZgen9,-15.9,0,0
